,Color,Efficiency,Efficiency Certification,Fanless,Manufacturer,Model,Modular,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part Number,Type,Wattage
266,Black / Silver,,80+ Titanium,,Corsair,,Full,,8,,,CP-9020152-NA / CP-9020152-UK,ATX,1000 W
267,,92%,80+ Platinum,,FSP Group,,Full,"+3.3v@25A, +5V@25A, +12V@83A, -12V@0.8A, +5VSB@3.0A",8,,,PT1000FM,ATX12V / EPS12V,1000 W
268,,>=82%,80+ Bronze,,SeaSonic,,False,,,,,SS-500ES Bronze,ATX12V,500 W
269,,,80+ Gold,,SeaSonic,FOCUS Plus 650 Gold,Full,"+3.3V@20A, +5V@20A, +12V@54A,-12V@0.3A,+5Vsb@3A",4,,,SSR-650FX,ATX,650 W
270,Black,,80+ Bronze,,SHARKOON,,False,,1,1,,4044951016402,SFX12V,450 W
271,,,80+ Bronze,,Thermaltake,,False,"+3.3V@24A, +5V@24A, +12V@52A, -12V@0.5A, +5VSB@3.0A",2,,,SP-650PCBUS / TT-SP-650PCBAU / SP-650P,ATX12V,650 W
272,,> 87%,80+ Bronze,,SeaSonic,,False,"+3.3V@24A, +5V@24A, +12V@40A, -12V@0.8A, +5VSB@2.5A",1,1,,S12II 520 Bronze,ATX12V / EPS12V,520 W
273,,90% Typical,80+ Gold,,EVGA,SuperNOVA 850,Full,+5V@24A +3.3V@24A +12V@70.8A -12V@0.5A +5Vsb@2.5A,4,2,,220-G2-0850-XR,ATX,850 W
274,Black,,80+ Bronze,,SeaSonic,,False,,4,,,SSR-650GB3,ATX,650 W
275,Black,,80+ Gold,,EVGA,,Full,,4,,,120-GP-0650-X1,ATX,650 W
276,,,80+ Gold,,be quiet!,Straight Power 11 750W,Full,,4,,,BN283 / BN619,ATX,750 W
277,,> 85%,80+ Silver,,Rosewill,,Semi,"+3.3V@25A,+5V@25A,+12V1@110A,+12V2@50A, -12V@0.5A,+5VSB@3.5A",16,,,HERCULES-1600,ATX12V / EPS12V,1600 W
278,,90%,80+ Gold,,EVGA,SuperNOVA 1600,Full,"+3.3V@24A, +5V@24A, +12V@133.3A, +5VSB@3A, -12V@0.5A",9,5,,120-G2-1600-X1 / 120-G2-1600-X3 / 120-G2-1600-X4,ATX12V / EPS12V,1600 W
279,,,80+ Gold,,BitFenix,Formula Gold 550,False,,2,,,BP-FM550ULAG-7R / BP-FM550ULAG-8R / BP-FM550ULAG-9R,ATX,550 W
280,,> 80%,80+,,Silverstone,,False,"+3.3V@25A, +5V@25A, +12V1@46A, +5VSB@2.5A, -12V@0.3A",1,3,,ST70F-ES / SST-ST70F-ES,ATX12V / EPS12V,700 W
281,Black / Multicolor,,80+ Bronze,,GAMDIAS,,False,,2,,,ASTRAPE M1-650B / M1-650B,ATX,650 W
282,Black / White,,80+ Bronze,,Corsair,CX850M V2 (2017 Edition),Semi,,4,,,CP-9020157-NA,ATX,850 W
283,,90%,80+ Gold,,Thermaltake,,Full,"+3.3V@22A, +5V@22A, +12V@54.2A, -12V@0.3A, +5VSB@3A",4,,,PS-TPG-0650FPCGUS-R,ATX,650 W
284,,,80+ Gold,,Silverstone,SX500-G,Full,,2,,,SST-SX500-G,SFX12V,500 W
285,,< 92%,80+ Gold,,Corsair,,Full,,4,,,RM650 / CP-9020054-UK / CP-9020054-NA / CP-9020054-EU,ATX12V / EPS12V,650 W
286,,,80+ Gold,,EVGA,210-GQ-1000-V1,Semi,,10,,,210-GQ-1000 / 210-GQ-1000-V1,ATX,1000 W
287,,> 65%,,,Thermaltake,,False,"+3.3V@20A, +5V@24A, +12V1@14A, +12V2@15A, -12V@0.3A, +5VSB@2A",,1,,W0070RUC,ATX12V,430 W
288,,,80+ Gold,,Corsair,RM1000i,Full,,8,,,CP-9020084-NA / RM1000i / CP-9020084-EU / CP-9020084-UK,ATX,1000 W
289,,87%~90%(at 20%~100% loading),80+ Gold,,Silverstone,,Full,"+3.3V@25A, +5V@25A, +12V1@70A, +12V2@70A, +5VSB@3.5V, -12V@0.3A",8,,,ST1500-GS / SST-ST1500-GS,ATX,1500 W
290,,,80+ Gold,,Enermax,,Semi,,2,,,ERX550AWT,ATX,550 W
291,Black,,80+ Gold,,Corsair,RM750x (2018),Full,,4,,,CP-9020179-NA / CP-9020179-EU / CP-9020092-UK,ATX,750 W
292,,< 88%,80+ Bronze,,Thermaltake,,Semi,"+3.3V@25A, +5V@25A, +12V@70A, -12V@0.8A",4,,,SP-850M,ATX12V / EPS12V,850 W
293,,,80+ Platinum,,Corsair,,Full,"+3.3V@25A, +5V@25A, +12V@63.3A, -12V@0.8A, +5VSB@3.0A",6,,,AX760 / CP-9020045-NA / CP-9020045-UK / CP-9020045-AU,ATX12V / EPS12V,760 W
294,,> 90%,80+ Gold,,Cooler Master,,Full,"+3.3V@25A, +5V@25A, +12V@83A, -12V@0.5A, +5Vsb@3A",8,,,RSA00-AFBAG1-US / RSA00-AFBAG1,ATX12V / EPS12V,1000 W
295,,"> 90%, Up to 92%",80+ Gold,,Rosewill,,False,"+3.3V@20A,+5V@20A,+12V@50A,-12V@0.5A,+5VSB@2.5A",2,,,VALENS-600,ATX12V / EPS12V,600 W
296,Black / Blue,,80+ Titanium,,Silverstone,,Full,,8,,,SST-ST1100-TI,ATX,1100 W
297,,> 89%,80+ Platinum,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@83A,-12V@0.5A,+5VSB@2.5A",4,,,Tachyon-1000,ATX12V / EPS12V,1000 W
298,,90%,80+ Gold,,Thermaltake,,Full,"+3.3V@22A, +5V@22A, +12V@70.9A, -12V@0.3A, +5VSB@3A",6,,,PS-TPG-0850FPCGUS-R,ATX,850 W
299,Black,,80+ Platinum,,Thermaltake,Toughpower iRGB PLUS 1200 Platinum,Full,,8,,,PS-TPI-1200F2FDPU-1,ATX,1200 W
300,,,80+ Bronze,,Corsair,CX550M,Semi,,2,,,CP-9020102-NA / CP-9020102-EU,ATX,550 W
301,,< 89%,80+ Bronze,,Cougar,,False,"+3.3V@24A, +5V@20A, +12V1@30A, +12V2@30A, -12V@0.3A, +5VSB@3.0A",2,2,,COUGAR-A760,ATX12V,760 W
302,,92%,80+ Gold,,FirePower,,Full,"+3.3V@24A, +5V@30A, +12V1@70A, -12V@0.5A, +5VSB@3.0A",4,,,OCZ-ZX850W,ATX12V / EPS12V,850 W
303,,75% Typical,,,EVGA,,False,"+3.3V@18A, +5V@17A, +12V@30A, +5VSB@2A, -12V@0.3A",1,1,,100-N1-0400-L1,ATX,400 W
304,,,,,Athena Power,,False,"+3.3V@24A, +5V@24/26A, +12V1@19A, +12V2@19A, +12V3@19A, +12V4@19A, -12V@0.8A, +5VSB@4A",2,2,,AP-P4ATX85FEP,EPS12V,850 W
305,,83%,80+,,Inwin,,False,,,,,IP-P300BN7-2,ATX12V,300 W
306,Black,,80+ Platinum,,G.Skill,PS1250P,Full,,8,,,GP-PL1250A-CWV1,ATX,1250 W
307,,,80+ Gold,,SeaSonic,,False,,,,,SSP-300SFG,SFX12V,300 W
308,Silver / Black,,80+ Gold,,Phanteks,,Full,,8,,,PH-P850GC,ATX,850 W
309,,,80+ Bronze,,RIOTORO,ONYX 650,Semi,,2,,,PR-BP0650-SM,ATX,650 W
310,,,80+ Gold,,Enermax,,Semi,,4,,,ERX650AWT,ATX,650 W
311,,,,,Thermaltake,,False,"+3.3V@16A, +5V@13A, +12V@26A, -12V@0.5A, +5VSB@2.5A",,,,PS-LTP-0350NNCNUS-F,ATX,350 W
312,,,80+ Gold,,SeaSonic,FOCUS Plus 550 Gold,Full,"+3.3V@20A, +5V@20A, +12V@45A, -12V@0.3A, +5Vsb@3A",2,,,SSR-550FX,ATX,550 W
313,,85% Typical,80+ Bronze,,EVGA,,False,"+3.3V@24A, +5V@20A, +12V@56A, +5VSB@3A, -12V@0.3A",2,,,100-B1-0700-K1,ATX,700 W
314,,> 85%,80+ Bronze,,XFX,,False,"+3.3V@25A, +5V@25A, +12V@53A, -12V@0.5A, +5VSB@3.0A",4,,,P1-650S-NLB9 / P1-650S-UKB9,ATX12V / EPS12V,650 W
315,,92%,80+ Platinum,,Corsair,HX1000i,Full,"+3.3V@25A, +5V@25A, +12V@83.3A, -12V@0.8A, +5VSB@3A",4,,,CP-9020074 / CP-9020074-UK / CP-9020074-NA / CP-9020074-AU / CP-9020074-EU,ATX12V / EPS12V,1000 W
316,,,80+ Gold,,EVGA,SuperNOVA 750,Full,,4,,,220-G3-0750 / 220-G3-0750-X1 / 220-G3-0750-X3,ATX,750 W
317,,82%~85% at 20% ~ 100% loading,80+ Bronze,,Silverstone,,Full,"+3.3V@22A, +5V@18A, +12V@54A, +5VSB@2.5A, -12V@0.3A",4,,,ST70F-PB,ATX12V / EPS12V,700 W
318,,> 65%,,,Apex,,False,"+3.3V@14A, +5V@12A, +12V@16A, -12V@0.3A, +5VSB@2.0A",,,,AL-8250SFX,SFX12V,250 W
319,,85% Typical,80+ Bronze,,EVGA,,Semi,"+3.3V@24A, +5V@20A, +12V@54A, +5Vsb@3A, -12V@0.3A",2,1,,110-BQ-0650-V1,ATX,650 W
320,,,80+ Gold,,FSP Group,,Full,,4,,,HG650,ATX12V / EPS12V,650 W
321,,> 70%,,,Rosewill,,False,"+3.3V@20A, +5V@12A, +12V1@6A, +12V2@16A, -12V@0.3A,+5VSB@2A",,,,SL-300TFX,TFX12V,300 W
322,Black,,80+ Platinum,,SeaSonic,PRIME Ultra Platinum 850,Full,,6,,,SSR-850PD-U / SSR-850PD (ULTRA),ATX,850 W
323,,,80+ Gold,,EVGA,210-GQ-0850-V1,Semi,,8,,,210-GQ-0850 / 210-GQ-0850-V1,ATX,850 W
324,,"Up to 90% efficiency at 115Vac, 50% load",80+ Gold,,SeaSonic,,False,"+3.3V@20A, +5V@20A, +12V1@54A, +12V2@54A, -12V@0.3A, +5VSB@2.5A",2,,,SSP-650RT,ATX12V,650 W
325,,,80+ Gold,,be quiet!,Straight Power 11 850W,Full,,4,,,BN284 / BN620,ATX,850 W
326,,> 82%,80+ Bronze,,SeaSonic,,False,,,,,SS-300TFX Bronze,TFX12V,300 W
327,Black,,80+ Platinum,,EVGA,,Semi,,10,,,210-PQ-1000-X1,ATX,1000 W
328,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,False,"+3.3V@20A,+5V@20A,+12V@62.5A,-12V@0.5A,+5VSB@2.5A",4,,,ARC 750,ATX12V / EPS12V,750 W
329,,,,,CoolMax,,False,"+3.3V@30A, +5V@28A, +12V1@14A, +12V2@15A, -12V@1A, +5VSB@2.5A",,,,V-400,ATX,400 W
330,Black,,80+ Gold,,SeaSonic,PRIME Ultra Gold 650,Full,,4,,,SSR-650GD2,ATX,650 W
331,,,80+ Bronze,,Enermax,,Semi,,4,,,ETL800EWT-M,ATX12V / EPS12V,800 W
332,,up to 86.03%,80+ Bronze,,Raidmax,,False,"+3.3V@20A, +5V@17A, +12V@50A, -12V@0.3A ,5VSB@2.5A",2,,,RX-700AC-B,ATX,700 W
333,,,,,Rosewill,,False,"+3.3V@24A, +5V@30A, 12V1@56A, -12V@0.8A, +5VSB@3.0A",1,2,,RD700,ATX12V,700 W
334,,Up to 92%,80+ Gold,,Rosewill,,Full,"+3.3V@25A,+5V@25A,+12V@87.5A,-12V@0.3A,+5VSB@4A",8,,,PHOTON-1050,ATX12V / EPS12V,1050 W
335,Black,80% under typical load,80+,,Thermaltake,,False,"+3.3V@20A, +5V@15A, +12V@35A, -12V@0.5A, +5VSB@2.5A",2,,,PS-SPR-0500NHFAWU-1,ATX,500 W
336,,,80+ Bronze,,Athena Power,,False,"+3.3V@13A, +5V@13A, +12V1@9A, +12V2@9A, -12V@0.8A, -5V@0.5A, +5V-SB@2.5A",,1,,AP-MFATX30,Mini ITX,300 W
337,Silver / Black,,80+ Gold,,Phanteks,,Full,,8,,,PH-P1000GC,ATX,1000 W
338,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,Semi,"+3.3V@22A,+5V@22A,+12V@41.25A,-12V@0.3A,+5VSB@2.5A",4,,,Hive-550S,ATX12V / EPS12V,550 W
339,,,80+ Bronze,,Corsair,CX650M,Semi,,2,,,CP-9020103-NA,ATX,650 W
340,,,80+ Bronze,,NZXT,HALE82N 550W,False,"+3.3V@24A, +5V@22A, +12V@42A, -12V@0.5A, +5VSB@3.0A",2,,,NP-1BN-0550A-US,ATX12V / EPS12V,550 W
341,,,80+ Gold,,Cougar,,False,,4,,,GX-S650,ATX,650 W
342,,80% Efficiency,80+,,Thermaltake,,False,"+3.3V@22A, +5V@17A, +12V@42A, -12V@0.5A, +5VSB@2.5A",2,,,PS-SPD-0600NPCWUS-W,ATX12V / EPS12V,600 W
343,,82%~85% at 20%~100% loading,80+ Bronze,,Silverstone,,False,"+3.3V@20A, +5V@20A, +12V@30A, +5VSB@2.5A, -12V@0.3A",,1,,ST40F-ESB,ATX12V,400 W
344,,,80+ Titanium,,Silverstone,,Full,,2,2,,ST60F-TI / PS-ST60F-TI / SST-ST60F-TI,ATX,600 W
345,,92% (115VAC) / 94% (220VAC~240VAC) or Higher Typical,80+ Platinum,,EVGA,SuperNOVA 850,Full,"+3.3V@20A, +5V@20A, +12V@70.8A, +5VSB@2.5A, -12V@0.5A",4,2,,220-P2-0850-X1 / 220-P2-0850-X3,ATX12V / EPS12V,850 W
346,Black,,80+ Titanium,,Enermax,,Full,,6,,,EMT750EWT,ATX,750 W
347,,> 90%,80+ Gold,,FSP Group,,False,"+3.3V@20A, +5V@20A, +12V1@17A, +12V2@17A, +12V3@17A, +5VSB@3A ,-12V@0.5A",4,,,TWINS700,ATX12V / EPS12V,700 W
348,,85% efficiency or higher under typical loads,80+ Bronze,,EVGA,,Semi,"+3.3V@24A, +5V@20A, +12V@70A, +5Vsb@3A, -12V@0.3A",3,,,110-BQ-0850-V1,ATX,850 W
349,,87%~90% @ 20% ~ 100% loading,80+ Gold,,Silverstone,,False,,1,,,ST50F-ESG / SST-ST50F-ESG,ATX,500 W
350,,,80+ Gold,,EVGA,SuperNOVA 850,Full,,4,,,220-G3-0850 / 220-G3-0850-X1,ATX,850 W
351,,,80+ Bronze,,Silverstone,,False,,,1,,ST60F-ESB / SST-ST60F-ESB,ATX12V / EPS12V,600 W
352,,,80+ Bronze,,EVGA,,False,,2,,,100-BR-0450-K1,ATX,450 W
353,,Up to 87.40%,80+ Bronze,,Raidmax,,False,"+3.3V@20A, +5V@20A, +12V@32A, -12V@0.5A ,5VSB@2.5A",1,,,RX-500AF-B,ATX12V / EPS12V,500 W
354,Black,,80+ Gold,,be quiet!,,Semi,,4,,,BN298 / BN629,ATX,600 W
355,,up to 87.53%,80+ Bronze,,Raidmax,,Semi,"+3.3V@20A, +5V@20A, +12V@56A, -12V@0.3A ,5VSB@2.5A",4,,,RX-735AP-S,ATX12V / EPS12V,735 W
356,,,80+ Silver,,be quiet!,,False,,4,,,BN274 / BN674,ATX,600 W
357,,80%,80+,,Thermaltake,,False,"+5V@15A, +3.3V@24A, +12V@45A, -12V@0.3A, +5VSB@3.0A",2,,,SP-630P,ATX12V,630 W
358,Black,,80+ Gold,,Antec,,Full,,4,,,HCG750 Gold,ATX,750 W
359,,,80+ Platinum,,Corsair,,Full,"+3.3V@25A, +5V@25A, +12V@71.6A, -12V@0.8A, +5VSB@3.0A",6,,,AX860i / CP-9020037-NA / CMPSU-AX860i / CP-9020037-UK / CP-9020037-AU / CP-9020037-EU,ATX12V / EPS12V,860 W
360,Black,,80+ Gold,,SeaSonic,PRIME 1300 Gold,Full,,12,,,SSR-1300GD,ATX,1300 W
361,,,80+ Gold,,SeaSonic,,Semi,,2,,,SSR-750FM,ATX,750 W
362,,,80+ Bronze,,Silverstone,,Full,"+3.3V@24A, +5V@20A, +12V1@34A, -12V@0.3A, +5VSB@2.5A",1,1,,ST50F-P / SST-ST50F-P,ATX12V / EPS12V,500 W
363,,,80+ Gold,,Rosewill,,Semi,,16,,,HERCULES-1600S,ATX,1600 W
364,,> 85%,80+ Bronze,,Thermaltake,,Semi,"+3.3V@25A, +5V@25A, +12V@69A, -12V@0.6A, +5VSB@3.0A",2,2,,W0319RU,ATX12V / EPS12V,850 W
365,,85%,80+ Bronze,,Corsair,CX850M,Semi,"+3.3V@25A, +5V@25A, +12V@70A, -12V@0.8A, +5VSB@3A",4,,,CP-9020099-NA / CP-9020099-EU / CMPSU-850CXM / CP-9020099-UK,ATX12V / EPS12V,850 W
366,,,80+ Gold,,Corsair,TX650M Gold,Semi,"+3.3V@25A, +5V@25A, +12V@51A, -12V@0.8A, +5TX-MB@3A",4,,,CP-9020132-NA / CP-9020132-UK,ATX,650 W
367,,92%,80+ Platinum,,Corsair,HX850i,Full,"+3.3V@25A, +5V@25A, +12V@70.8A, -12V@0.8A, +5VSB@3A",6,,,CP-9020073 / CP-9020073-UK / HX850i / CMPSU-HX850i / CP-9020073-NA / CP-9020073-EU,ATX12V / EPS12V,850 W
368,,< 85%,80+ Bronze,,Corsair,,Semi,"+3.3V@20A, +5V@20A, +12V@32A, -12V@0.8A, +5VSB@3A",1,,,CX430M / CMPSU-430CXM / CP-9020058-AU / CP-9020058-UK / CP-9020058-NA / CP-9020058-US,ATX12V,430 W
369,,85% Efficiency,80+ Bronze,,EVGA,,Full,"+3.3V@20A, +5V@20A, +12V@37.4A, +5Vsb@3A, -12V@0.5A",2,,,220-B3-0450-V1,ATX,450 W
370,Black,,80+ Platinum,,Corsair,,Full,,2,,,CP-9020182-NA / CP-9020182-EU,SFX12V,600 W
371,Black,,80+ Gold,,Cooler Master,,Full,,2,,,MPY-5501-AFAAG-US,ATX,550 W
372,,,80+ Bronze,,Thermaltake,,False,"+3.3V@24A, +5V@15A, +12V@42A, -12V@0.5A, +5VSB@3.0A",2,,,SP-550PCBUS / TT-SP-550PCBAU / SP-550P,ATX12V,550 W
373,,87-93%,80+ Gold,,Enermax,,Semi,"+3.3V@24A, +5V@24A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, -12V@0.5A, +5VSB@3A",6,,,ERV1000EWT-G,ATX12V / EPS12V,1000 W
374,,> 82%,80+ Bronze,,Antec,,False,"+3.3V@24A, +5V@24A, +12V1@22A, +12V2@22A, -12V@0.8A, +5VSB@2.5A",,1,,EA-500D Green,ATX12V / EPS12V,500 W
375,,85% Efficiency,80+ Bronze,,EVGA,,Full,"+3.3V@24A, +5V@24A, +12V@70.8A, +5Vsb@3A, -12V@0.5A",6,,,220-B3-0850-V1,ATX,850 W
376,,,80+ Gold,,Silverstone,SX600-G,Full,,2,,,SST-SX600-G / SX600-G,SFX12V,600 W
377,Black,,80+ Platinum,,Thermaltake,Toughpower iRGB PLUS 1000 Platinum,Full,,8,,,PS-TPI-1050F2FDPU-1,ATX,1000 W
378,,87-92%,80+ Gold,,Rosewill,,Semi,"+3.3V@24A,+5V@22A,+12V@54A,-12V@0.5A,+5VSB@3A",4,,,CAPSTONE-650-M,ATX12V / EPS12V,650 W
379,,> 80%,80+ Bronze,,Corsair,,False,"+3.3V@25A, +5V@20A, +12V@38A, -12V@0.8A, +5VSB@3.0A",2,,,CX500 / CP-9020047-UK / CP-9020047-AU / CP-9020047-US / CP-9020047-EU,ATX12V,500 W
380,Black,,80+ Gold,,Gigabyte,,Semi,,4,,,GP-G750H,ATX,750 W
381,,> 93%,80+ Gold,,Cougar,,Semi,"+3.3V@25A, +5V@25A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, +12V5@25A, +12V6@25A, -12V@0.5A, +5VSB@4A",6,,,COUGAR-GX1050,ATX12V / EPS12V,1050 W
382,,85% Efficiency,80+ Bronze,,Thermaltake,,Full,"+3.3V@22A, +5V@22A, +12V@62.5A, -12V@0.3A, +5VSB@2.5A",4,,,PS-SPR-0750FPCBUS-R,ATX,750 W
383,,,80+ Titanium,,Corsair,AX1600i,Full,,8,,,CP-9020087-NA,ATX,1600 W
384,,,80+ Gold,,SeaSonic,FOCUS Plus 750 Gold,Full,"+3.3V@20A, +5V@20A, +12V@62A, -12V@0.3A, +5Vsb@3A",4,,,SSR-750FX,ATX,750 W
385,,87-92%,80+ Gold,,Rosewill,,Semi,"+3.3V@22A,+5V@22A,+12V@45.5A,-12V@0.5A,+5VSB@3A",2,,,CAPSTONE-550-M,ATX12V / EPS12V,550 W
386,,,80+ Gold,,EVGA,,Full,,6,,,120-GP-0850-X1,ATX,850 W
387,Black,,80+ Gold,,be quiet!,,False,,4,,,BN295 / BN631,ATX,700 W
388,Black,,80+ Gold,,Silverstone,,False,,,1,,SST-FX350-G,Flex ATX,350 W
389,,>87%,80+ Gold,,Inwin,,Semi,"+3.3V@24A, +5V@24A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, -12V@0.3A, +5VSB@3A",4,,,Commander III 800,ATX12V / EPS12V,800 W
390,,,80+ Gold,,Corsair,HX850,Semi,"+3.3V@25A, +5V25A, +12V@70A, -12V@0.8A, +5VSB@3A",6,,,CP-9020032-NA,ATX12V / EPS12V,850 W
391,,,80+ Gold,,Corsair,RM750x,Full,,4,,,CP-9020092-NA / RM750x / CP-9020092-UK,ATX,750 W
392,,90% Typical,80+ Gold,,EVGA,SuperNOVA 750,Full,"+3.3V@25A, +5V@25A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@20A, +5Vsb@3A, -12V@0.8A",4,,,120-G1-0750-XR,ATX12V / EPS12V,750 W
393,,< 92%,80+ Gold,,Corsair,,Full,,4,,,RM750 / CP-9020055-UK / CP-9020055-WW / CP-9020055-NA / CP-9020055-EU,ATX12V / EPS12V,750 W
394,Black,,80+ Gold,,FSP Group,Dagger 600,Full,,2,,,PPA6004301,SFX12V,600 W
395,,> 85%,80+ Bronze,,Raidmax,,Semi,"+3.3V@20A, +5V@20A, +12V@53A, -12V@0.3A ,5VSB@2.5A",4,,,RX-735AP,ATX12V / EPS12V,735 W
396,,85% Typical,80+ Bronze,,EVGA,,Semi,"+3.3V@20A, +5V@20A, +12V@41.6A, -12V@0.3A, +5VSB@2.5A",2,,,110-BQ-0500-K1,ATX,500 W
397,,> 85%,80+ Bronze,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@70A,-12V@0.5A,+5VSB@3A",4,,,Glacier 850M,ATX12V / EPS12V,850 W
398,Black,,,,Cooler Master,,False,,2,,,MPW-5001-ACAAN1-US,ATX,500 W
399,,> 85%,80+ Bronze,,OCZ,,Full,"+3.3V@30A, +5V@24A, +12V@54A, -12V@0.5A, +5VSB@3A",2,,,OCZ-ZT650W / OCZ-ZT650W-UK,ATX12V,650 W
400,,< 85%,80+ Bronze,,Corsair,,Semi,"+3.3V@25A, +5V@20A, +12V@38A, -12V@0.8A, +5VSB@3A",2,,,CX500M / CP-9020059-UK / CMPSU-500CXM / CP-9020059-AU,ATX12V,500 W
401,,< 88%,80+ Bronze,,LEPA,,Semi,"+3.3V@24A, +5V@24A, +12V@65A, -12V@0.3A, +5Vsb@2.5A",4,,,B800-MB,ATX12V / EPS12V,800 W
402,,> 85%,80+ Gold,,Rosewill,G650,Semi,"+3.3V@20A,+5V@18A,+12V@54A,-12V@0.3A,+5VSB@2.5A",2,,,Capstone G650,ATX12V / EPS12V,650 W
403,,85%,80+ Bronze,,Cooler Master,,False,"+3.3V@24A, +5V@15A, +12V@35A, -12V@0.3A, +5VSB@2.5A",,1,,RS450-ACAAD3-US,ATX12V,450 W
404,,,80+,,Corsair,VS600,False,,,2,,CP-9020119-NA,ATX,600 W
405,,82-85%,80+ Bronze,,Rosewill,,Semi,"+3.3V@28A, +5V@30A, +12V1@20A, +12V2@20A, +12V3@30A, +12V4@30A, -12V@0.8A, +5VSB@3.0A",3,3,,RBR1000-M,ATX12V / EPS12V,1000 W
406,,,80+,,Corsair,VS450,False,,2,,,CP-9020170-NA,ATX,450 W
407,Black,,80+ Gold,,SeaSonic,,Full,,2,,,SSR-450SGX,SFX12V,450 W
408,,>=82%,80+ Bronze,,SeaSonic,,False,,,,,SS-500ET Bronze,ATX12V,500 W
409,Black,,80+ Gold,,Thermaltake,,Full,,2,,,PS-STP-0450FPCGUS-G,SFX12V,450 W
410,,,80+ Gold,,be quiet!,Straight Power 11 550W,Full,,2,,,BN281 / BN617,ATX,550 W
411,,> 80%,80+ Bronze,,FSP Group,,False,"+3.3V@20A, +5V@22A, +12V1@16A, +12V2@16A, -12V@0.5A, +5VSB@2.5A",1,,,FSP400-60GHS(85)-R,SFX12V,400 W
412,,,,,Thermaltake,,False,"+3.3V@21A, +5V@16A, +12V@38A, -12V@0.5A, +5VSB@2.5A",2,,,PS-LTP-0550NNCNUS-F,ATX,550 W
413,,< 85%,80+ Bronze,,Corsair,,Semi,"+3.3V@30A, +5V@30A, +12V@70A, -12V@0.8A, +5VSB@3A",4,,,TX850M / CP-9020004-UK / CP-9020004-NA,ATX12V / EPS12V,850 W
414,,< 80%,80+,,CoolMax,,False,"+5V@20A, +3.3V@25A, +12V@34A, -12V@0.8A, +5VSB@3A",1,1,,ZX-500,ATX12V / EPS12V,500 W
415,,> 94%,80+ Titanium,,Rosewill,,Full,"+3.3V@25A,+5V@22A,+12V@100A,-12V@0.3A,+5VSB@3A",8,,,TOKAMAK 1200,ATX12V / EPS12V,1200 W
416,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,Semi,"+3.3V@21A,+5V@21A,+12V@62.5A,-12V@0.5A,+5VSB@3A",4,,,Hive-750S,ATX12V / EPS12V,750 W
417,,,80+ Gold,,Cooler Master,V750,Full,,4,,,RS750-AFBAG1-US,ATX,750 W
418,,,80+ Bronze,,SeaSonic,,Full,,4,,,SS-620GM2,ATX,620 W
419,,,80+ Bronze,,Thermaltake,,False,"+3.3V@25A, +5V@25A, +12V@62A, -12V@0.8A, +5VSB@3.0A",4,,,SP-750PCBUS / TT-SP-750PCBAU / SP-750P,ATX12V,750 W
420,,Up to 92%,80+ Gold,,Rosewill,,Full,"+3.3V@25A,+5V@25A,+12V@62.5A,-12V@0.3A,+5VSB@3A",4,,,PHOTON-750,ATX12V / EPS12V,750 W
421,Black / Multicolor,,80+,,GAMDIAS,,False,,2,,,ASTRAPE M1-650W / M1-650W,ATX,650 W
422,,85%,80+ Bronze,,CoolMax,,Semi,"+5V@25A, +3.3V@25A, +12V@59A, -12V@0.8A, +5VSB@3A",1,1,,ZU-700B,ATX12V / EPS12V,700 W
423,Black,,80+ Gold,,Silverstone,,False,,4,,,SST-ET650-G,ATX,650 W
424,,< 92%,80+ Gold,,Corsair,,Full,,8,,,RM1000 / CP-9020062-UK / CP-9020062-NA / P-9020062-EU,ATX12V / EPS12V,1000 W
425,,,80+ Platinum,,Corsair,HX750 Platinum,Full,"+3.3V@25A, +5V@25A, +12V@62.5A, -12V@0.8A, +5HXB@3A",4,,,CP-9020137-NA / CP-9020137-WW / CP-9020137-UK / CP-9020137-EU / CP-9020137-AU / CP-9020137-CN / CP-9020137-JP / CP-9020137-KR,ATX,750 W
426,,,80+ Platinum,,SeaSonic,,Full,"+3.3V@20A, +5V@20A, +12V@62A, -12V@0.3A, +5VSB@3.0A",4,,,SSR-750PX,ATX,750 W
427,Black,,80+ Gold,,Cooler Master,MWE Gold 650,Full,,4,,,MPY-6501-AFAAG-US,ATX,650 W
428,,< 80%,80+,,CoolMax,,False,"+5V@25A, +3.3V@25A, +12V@56A, -12V@0.8A, +5VSB@3A",1,1,,ZX-700,ATX12V / EPS12V,700 W
429,,,80+ Bronze,,Corsair,CX650 (2017),False,,2,,,CP-9020122-NA,ATX,650 W
430,Black / Yellow,,80+ Gold,,Silverstone,,False,,2,,,SST-ET550-G,ATX,550 W
431,Black,,80+ Gold,,Antec,EARTHWATTS GOLD PRO 650,Semi,,4,,,EA650G Pro,ATX,650 W
