,Color,Efficiency,Efficiency Certification,Fanless,Manufacturer,Model,Modular,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part Number,Type,Wattage
144,,> 87%,80+ Bronze,,SeaSonic,,False,,2,,,S12II 620 Bronze / SS-620GB,ATX12V / EPS12V,620 W
145,Black,up to 87%,80+ Bronze,,Cougar,,False,"+3.3V at 16A, +5V at 20A, +12V at 45A, -12V at 0.3A, +5Vsb at 2.5A",2,,,VTE600,ATX,600 W
146,Black,,80+ Gold,,SeaSonic,PRIME Ultra Gold 750,Full,,8,,,SSR-750GD2,ATX,750 W
147,,,80+,,Corsair,VS500,False,,,2,,CP-9020118-NA,ATX,500 W
148,,87-92%,80+ Gold,,Rosewill,,False,"+3.3V@24A,+5V@22A,+12V@54A,-12V@0.5A,+5VSB@3A",3,,,CAPSTONE-650,ATX12V / EPS12V,650 W
149,,87-92%,80+ Gold,,Rosewill,,Semi,"+3.3V@24A,+5V@24A,+12V@83A,-12V@0.5A,+5VSB@3A",6,,,LIGHTNING-1000,ATX12V / EPS12V,1000 W
150,,<90%,80+ Gold,,PC Power & Cooling,,Semi,"+3.3V@24A, +5V@24A, +12V@62A, -12V@0.5A, +5VSB@3.0A",4,,,PPCMK3S750,ATX12V,750 W
151,,,80+ Titanium,,Silverstone,,Full,,4,,,ST80F-TI / PS-ST80F-TI / SST-ST80F-TI,ATX,800 W
152,,up to 78%,,,Raidmax,,False,"+3.3V@18A, +5V@17A, +12V1@36A, -12V@0.5A ,5VSB@2.5A",1,1,,RX-500XT,ATX12V / EPS12V,500 W
153,,> 85%,80+ Gold,,Rosewill,G550,Semi,"+3.3V@20A,+5V@18A,+12V@45A,-12V@0.3A,+5VSB@2.5A",2,,,Capstone G550,ATX12V / EPS12V,550 W
154,Black / Blue,,80+ Titanium,,Silverstone,,Full,,8,,,SST-ST1300-TI,ATX,1300 W
155,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@52A,-12V@0.5A,+5VSB@2.5A",2,,,ARC M650,ATX12V / EPS12V,650 W
156,,> 85%,80+ Bronze,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@53A,-12V@0.3A,+5VSB@2.5A",4,,,Glacier 700M,ATX12V / EPS12V,700 W
157,,,80+ Gold,,EVGA,SuperNOVA 550,Full,,3,,,220-G3-0550 / 220-G3-0550-Y1 / 220-G3-0550-Y2,ATX,550 W
158,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,False,"+3.3V@20A,+5V@20A,+12V@52A,-12V@0.5A,+5VSB@2.5A",2,,,ARC 650,ATX12V / EPS12V,650 W
159,,,,,Athena Power,,False,"+3.3V@13A, +5V@13A, +12V1@16A, -12V@0.8A, -5V@0.5A, and +5VSB@2.5A",,,,AP-MP4ATX30,SFX12V,300 W
160,,,80+ Platinum,,Corsair,HX850 Platinum,Full,"+3.3V@25A, +5V@25A, +12V@70.8A, -12V@0.8A, +5HXB@3A",6,,,CP-9020138-NA / CP-9020138-WW / CP-9020138-UK / CP-9020138-EU / CP-9020138-AU / CP-9020138-CN / CP-9020138-JP / CP-9020138-KR,ATX,850 W
161,Black / Silver,,80+ Gold,,Corsair,RM550x (2018),Full,,2,,,CP-9020177-NA / CP-9020177-UK / CP-9020177-EU,ATX,550 W
162,,90%,80+ Gold,,EVGA,NEX650G Gold,Full,"+3.3V@25A, +5V@25A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@20A,+5VSB@3A, -12V@0.8A",4,1,,120-PG-0650-GR,ATX12V / EPS12V,650 W
