,CAS Latency,Color,ECC,Heat Spreader,Manufacturer,Model,Part Number,Price/GB,Registered,Size,Speed,Timing,Type,Voltage
264,16,White / Silver,False,True,Crucial,,BLS2K4G4D26BFSC,$6.00,False,8 GB (2 x 4 GB),DDR4-2666,,288-pin DIMM,1.2 V
265,18,Black,False,True,Corsair,,CMV16GX4M1A2666C18,$4.87,False,16 GB (1 x 16 GB),DDR4-2666,18-18-18-43,288-pin DIMM,1.2 V
266,17,Black,False,True,G.Skill,,F4-4000C17Q-32GTZR,$15.34,False,32 GB (4 x 8 GB),DDR4-4000,17-17-17-37,288-pin DIMM,1.35 V
267,17,Black / White,False,True,G.Skill,,F4-3600C17D-32GTZKW,$11.83,False,32 GB (2 x 16 GB),DDR4-3600,17-19-19-39,288-pin DIMM,1.35 V
268,13,Black / Yellow,False,True,Corsair,,CMK32GX4M2A2133C13,$4.59,False,32 GB (2 x 16 GB),DDR4-2133,,288-pin DIMM,1.2 V
269,14,Black,False,True,G.Skill,,F4-3200C14D-32GVK,$9.09,False,32 GB (2 x 16 GB),DDR4-3200,,288-pin DIMM,1.35 V
270,16,Silver,False,True,G.Skill,,F4-3000C16D-16GTRS,$8.81,False,16 GB (2 x 8 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
271,16,Black / Camo,False,True,G.Skill,,F4-3000C16D-32GSXKB,$4.94,False,32 GB (2 x 16 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
272,15,Black / White,False,True,Kingston,,HX426C15FBK2/8,$6.86,False,8 GB (2 x 4 GB),DDR4-2666,,288-pin DIMM,1.2 V
273,15,Black / Yellow,False,True,Corsair,,CMK32GX4M2B3000C15,$5.62,False,32 GB (2 x 16 GB),DDR4-3000,15-15-15-36,288-pin DIMM,1.35 V
274,14,Black / Red,False,True,Team,,TLRED48G2400HC1401,$4.87,False,8 GB (1 x 8 GB),DDR4-2400,14-16-16-31,288-pin DIMM,1.2 V
275,16,Black / Red,False,True,G.Skill,,F4-2400C16Q-64GFT,$4.39,False,64 GB (4 x 16 GB),DDR4-2400,16-16-16-39,288-pin DIMM,1.2 V
276,15,Black / Red,False,True,G.Skill,,F4-2133C15Q-64GFT,$4.31,False,64 GB (4 x 16 GB),DDR4-2133,15-15-15-36,288-pin DIMM,1.2 V
277,11,Black / Green,False,False,Kingston,,KVR16N11S6/2,$12.96,False,2 GB (1 x 2 GB),DDR3-1600,,240-pin DIMM,1.5 V
278,18,Silver,False,True,G.Skill,,F4-3600C18D-16GTRS,$9.75,False,16 GB (2 x 8 GB),DDR4-3600,18-22-22-42,288-pin DIMM,1.35 V
279,16,Black / Yellow,False,True,Corsair,,CMK16GX4M2A2666C16,$4.87,False,16 GB (2 x 8 GB),DDR4-2666,16-18-18-35,288-pin DIMM,1.2 V
280,16,Red / Black,False,True,Patriot,,PV416G340C6K,$5.81,False,16 GB (2 x 8 GB),DDR4-3400,16-18-18-36,288-pin DIMM,1.35 V
281,17,Green / Black,True,False,Kingston,,KSM24ES8/8ME,$8.87,False,8 GB (1 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
282,14,Black / Gray,False,True,Patriot,,PVE48G213C4GY,$5.00,False,8 GB (1 x 8 GB),DDR4-2133,14-14-14-32,288-pin DIMM,1.2 V
283,14,Red,False,True,G.Skill,,F4-3200C14D-32GVR,$9.09,False,32 GB (2 x 16 GB),DDR4-3200,,288-pin DIMM,1.35 V
284,11,Black,False,False,G.Skill,,F3-1600C11D-16GNT,$3.81,False,16 GB (2 x 8 GB),DDR3-1600,,240-pin DIMM,1.5 V
285,18,Black,False,True,Corsair,,CMT128GX4M8X3600C18,$10.94,False,128 GB (8 x 16 GB),DDR4-3600,18-19-19-39,288-pin DIMM,1.35 V
286,19,Black,False,True,G.Skill,,F4-4000C19D-32GTZR,$12.19,False,32 GB (2 x 16 GB),DDR4-4000,19-19-19-39,288-pin DIMM,1.35 V
287,16,Black / Yellow,False,True,Corsair,,CMK16GX4M2B3200C16,$6.25,False,16 GB (2 x 8 GB),DDR4-3200,16-18-18-36,288-pin DIMM,1.35 V
288,16,White,False,True,Crucial,,BLS4K4G4D240FSC,$5.94,False,16 GB (4 x 4 GB),DDR4-2400,,288-pin DIMM,1.2 V
289,16,White,False,True,Crucial,,BLS2K8G4D26BFSCK,$5.37,False,16 GB (2 x 8 GB),DDR4-2666,,288-pin DIMM,1.2 V
290,16,Red / Black,False,True,ADATA,,AX4U240038G16-DRZ,$4.37,False,16 GB (2 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
291,15,Black / Red,False,True,G.Skill,,F4-2800C15D-8GVR,$5.37,False,8 GB (2 x 4 GB),DDR4-2800,,288-pin DIMM,1.25 V
