,CPU Socket,Chipset,Color,CrossFire Support,Form Factor,Half Mini-PCI-Express,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,Part Number,RAID Support,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s
310,LGA1151,Intel H270,Black / Silver,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,H270-A PRO,True,,6,,False,,,,
311,LGA1151,Intel Z370,Black / Silver,True,ATX,,Gigabyte,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866 / 4000 / 4133,,,,,2 x 1000 Mbit/s,True,True,,Z370 AORUS Gaming 7 (rev. 1.0) / Z370 AORUS Gaming 7 / GA-Z370 AORUS Gaming 7,True,,6,,True,,,,
312,LGA1151,Intel C236,Green / Black,False,Micro ATX,,Supermicro,64 GB,4 x 288-pin DIMM,DDR4-1600 / 1866 / 2133,,,,,4 x 1000 Mbit/s,True,True,,MBD-X11SSH-LN4F / MBD-X11SSH-LN4F-O / X11SSH-LN4F-O,True,,8,,False,,,,
313,LGA1151,Intel B360,Black / Silver,False,Micro ATX,,ASRock,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B360M-HDV,False,,6,,False,,,,
314,LGA1151,Intel Z370,Black / Red,True,Micro ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,"Z370M MORTAR, (or)",True,,4,,False,,,,
315,LGA1151,Intel C236,Green / Blue,False,Mini ITX,,ASRock,32 GB,2 x 288-pin DIMM,DDR4-2133,,,,,2 x 1000 Mbit/s,True,Depends on CPU,,C236 WSI,False,,8,,False,,,,
316,LGA1151,Intel Z270,Black / Silver,True,EATX,,Asus,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3800 / 3866 / 4000 / 4133 / 4266,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,MAXIMUS IX APEX / ROG MAXIMUS IX APEX,True,,4,,True,,,,
317,AM3+,AMD A78,Black / Blue,False,Micro ATX,,Asus,32 GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1800 / 1866 / 2000,,,,,1 x 1000 Mbit/s,True,False,,M5A78L-M PLUS/USB3 / 90MB0RB0-M0EAY0,False,,6,,False,,,,
318,LGA1151,Intel Z170,Black / Silver,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3333 / 3400 / 3466,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,Z170-E,True,,6,1,True,,,,
319,LGA2066,Intel X299,Black,True,ATX,,Asus,128 GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000 / 4133,,,,,1 x 1000 Mbit/s,True,False,,STRIX X299-E GAMING / ROG STRIX X299-E GAMING / 90MB0U50-M0EAY0 / ROG STRIX X299-E,True,,8,,3-way SLI,,,,
