,Boost Clock,Chipset,Color,Core Clock,CrossFire Support,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DisplayPort,Fan,HDMI,Interface,Length,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Part Number,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,VirtualLink
43,1.8 GHz,GeForce GTX 1660 Ti,Black,1.5 GHz,False,,,,2,True,2,PCI-Express x16,"301 mm / 11.85""",Asus,6 GB,GDDR6,,,,ROG-STRIX-GTX1660TI-6G-GAMING,,False,,True,120 W,,,
44,1.71 GHz,GeForce RTX 2060,Silver / Black,1.365 GHz,False,,,,3,True,1,PCI-Express x16,"226 mm / 8.898""",MSI,6 GB,GDDR6,,,,RTX 2060 VENTUS 6G OC / GeForce RTX 2060 VENTUS 6G OC / V375-017R,,False,,True,160 W,,,
45,1.815 GHz,GeForce GTX 1660 Ti,Black / White,1.5 GHz,False,1,,,1,True,2,PCI-Express x16,"174 mm / 6.85""",Asus,6 GB,GDDR6,,,,PH-GTX1660TI-O6G / 90YV0CT0-M0NA00,,False,,True,120 W,,,
46,1.695 GHz,GeForce GTX 1650,Black / Silver,1.485 GHz,False,1,,,1,True,1,PCI-Express x16,"151 mm / 5.945""",Zotac,4 GB,GDDR5,,,,ZT-T16500F-10L,,False,,True,75 W,,,
47,1.506 GHz,GeForce GT 1030,Black / Blue,1.266 GHz,False,1,,,,False,1,PCI-Express x16,"173 mm / 6.811""",Asus,2 GB,GDDR5,,,,GT1030-2G-CSM,,False,,,30 W,,,
48,1.545 GHz,GeForce RTX 2080 Ti,Black,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Zotac,11 GB,GDDR6,,,,ZT-T20810G-10P,,True,,True,250 W,,,1
49,,GeForce RTX 2080,Black / Clear,,False,,,,3,True,1,PCI-Express x16,"270 mm / 10.63""",EVGA,8 GB,GDDR6,,,,08G-P4-2182-KR,,True,,True,215 W,,,
50,1.848 GHz,GeForce GTX 1080,Black / Red,1.708 GHz,False,1,,,3,True,1,PCI-Express x16,"292 mm / 11.496""",PNY,8 GB,GDDR5X,,,,VCGGTX10808XGPB-OC,,True,,True,180 W,,,
51,1.355 GHz,Radeon RX 580,Black / Orange,1.257 GHz,4-way CrossFire,1,,,3,True,1,PCI-Express x16,"232 mm / 9.134""",Gigabyte,8 GB,GDDR5,,,,GV-RX580GAMING-8GD,,False,True,,185 W,,,
52,1.86 GHz,GeForce GTX 1660 Ti,Black / White,1.5 GHz,False,,,,3,True,1,PCI-Express x16,"243 mm / 9.567""",MSI,6 GB,GDDR6,,,,GTX 1660 Ti ARMOR 6G OC / GEFORCE GTX 1660 Ti ARMOR 6G OC,,False,,True,120 W,,,
53,1.86 GHz,GeForce RTX 2060,Black,1.365 GHz,False,,,,2,True,2,PCI-Express x16,"300 mm / 11.811""",Asus,6 GB,GDDR6,,,,ROG-STRIX-RTX2060-O6G-GAMING / 90YV0CI0-M0NA00 / ROGSTRIXRTX2060O6GGAM,,False,,True,160 W,,,
54,1.38 GHz,Radeon RX 580,Black / Red,1.257 GHz,4-way CrossFire,1,,,3,True,1,PCI-Express x16,"255 mm / 10.039""",PowerColor,8 GB,GDDR5,,,,AXRX 580 8GBD5-3DH/OC,,False,True,,185 W,,,
55,1.75 GHz,Radeon VII,Silver,1.4 GHz,False,,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",MSI,16 GB,HBM2,,,,Radeon VII 16G,,False,True,,300 W,,,
56,1.67 GHz,GeForce GTX 1080 Ti,Black / Silver,1.556 GHz,False,1,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,11 GB,GDDR5X,,,,11G-P4-6598-KR,,True,,True,250 W,,,
57,1.544 GHz,GeForce GT 1030,Black / Orange,1.29 GHz,False,1,,,,True,1,PCI-Express x16,"168 mm / 6.614""",Gigabyte,2 GB,GDDR5,,,,GV-N1030OC-2GI,,False,,,30 W,,,
58,1.203 GHz,Radeon RX 550 - 512,Black / Red,1.1 GHz,True,1,,,1,True,1,PCI-Express x16,"170 mm / 6.693""",XFX,2 GB,GDDR5,,,,RX-550P2SFG5,,False,True,,75 W,,,
59,1.708 GHz,GeForce GTX 1060 6GB,Black,1.506 GHz,False,1,,,2,True,2,PCI-Express x16,"298 mm / 11.732""",Asus,6 GB,GDDR5,,,ROG STRIX-GTX1060-6G-GAMING,STRIX-GTX1060-6G-GAMING / ROG STRIX-GTX1060-6G-GAMING,,False,,True,120 W,,,
60,1.708 GHz,GeForce GTX 1070,,1.518 GHz,False,,1,,3,True,1,PCI-Express x16,,PNY,8 GB,GDDR5,,,,VCGGTX10708XPB-OC-BB,,True,,True,150 W,,,
61,1.254 GHz,Radeon RX 570,Black,1.168 GHz,4-way CrossFire,2,,,1,True,1,PCI-Express x16,"240 mm / 9.449""",Asus,4 GB,GDDR5,,,,ROG-STRIX-RX570-4G-GAMING,,False,True,,150 W,,,
62,1.71 GHz,GeForce RTX 2080,Clear / Black,1.515 GHz,False,,,,3,True,1,PCI-Express x16,"265.63 mm / 10.458""",EVGA,8 GB,GDDR6,,,,08G-P4-2080-KR,,True,,True,215 W,,,1
63,1.279 GHz,GeForce GTX 980,Black / Red,1.178 GHz,False,,,1,3,True,1,PCI-Express x16,"289 mm / 11.378""",Asus,4 GB,GDDR5,,,,STRIX-GTX980-DC2OC-4GD5 / 90YV07D0-M0NA00,,4-way SLI,,True,165 W,,,
64,1.68 GHz,GeForce RTX 2060,Black,1.365 GHz,False,1,,,1,True,1,PCI-Express x16,"189.89 mm / 7.476""",EVGA,6 GB,GDDR6,,,,06G-P4-2061-KR,,False,,True,160 W,,,
65,1.759 GHz,GeForce GTX 1060 6GB,Black / White,1.544 GHz,False,1,,,1,True,1,PCI-Express x16,"188 mm / 7.402""",MSI,6 GB,GDDR5,,,,GeForce GTX 1060 6G OCV1 / GTX 1060 6G OCV1,,False,,True,120 W,,,
66,1.74 GHz,GeForce RTX 2070,Black / Silver,1.41 GHz,False,,,,3,True,1,PCI-Express x16,"309 mm / 12.165""",MSI,8 GB,GDDR6,,,,GeForce RTX 2070 ARMOR 8G OC / RTX 2070 ARMOR 8G OC,,False,,True,185 W,,,1
67,1.83 GHz,GeForce GTX 1660,Black / White,1.53 GHz,False,1,,,1,True,1,PCI-Express x16,"174 mm / 6.85""",Asus,6 GB,GDDR5,,,,PH-GTX1660-O6G,,False,,True,120 W,,,
68,1.759 GHz,GeForce GTX 1080 Ti,Black / Yellow,1.645 GHz,False,1,,,3,True,1,PCI-Express x16,"325 mm / 12.795""",Zotac,11 GB,GDDR5X,,,,ZT-P10810C-10P,,True,,True,320 W,,,
69,,GeForce RTX 2080 Ti,,,False,,,,3,True,1,PCI-Express x16,,Gigabyte,11 GB,GDDR6,,,,GV-N208TGAMING OC-11GC,,True,,True,250 W,,,
70,1.733 GHz,GeForce GTX 1080,Black / Silver,1.607 GHz,False,1,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",PNY,8 GB,GDDR5X,,,,VCGGTX10808PB-CG,,True,,True,180 W,,,
71,1.197 GHz,Radeon RX 560 - 896,Black / Red,1.149 GHz,True,1,,,1,True,1,PCI-Express x16,"220 mm / 8.661""",Asus,4 GB,GDDR5,,,,RX560-O4G-EVO,,False,True,,75 W,,,
72,,Radeon RX 560 - 1024,,1.295 GHz,True,1,,,1,True,1,PCI-Express x16,"170 mm / 6.693""",XFX,4 GB,GDDR5,,,,RX-560P4SFG5,,False,True,,90 W,,,
73,1.665 GHz,GeForce RTX 2080 Ti,Black,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"298 mm / 11.732""",Zotac,11 GB,GDDR6,,,,ZT-T20810H-10P,,True,,True,250 W,,,1
