,Cache,Capacity,Color,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Manufacturer,Model,NAND Flash Type,Part Number,Power Loss Protection,Price/GB,RPM,SSD Controller
231,,1 TB,Blue / Black,M.2-2280,6.25,,M.2 (M),Team,,,TM8FP4001T0C101,,$0.160,,
232,128 MB,6 TB,,"3.5""",41.38,,SATA 6 Gb/s,Toshiba,,,HDWE160XZSTA,,$0.024,7200,
233,256 MB,2 TB,,"3.5""",29.00,,SATA 6 Gb/s,Seagate,,,ST2000DM005,,$0.034,5400,
234,,1 TB,Black,M.2-2280,6.25,,M.2 (M),HP,,,5MS23AA#ABC,,$0.160,,
235,64 MB,2 TB,,"3.5""",22.25,,SATA 6 Gb/s,Western Digital,,,WD20EARX,,$0.045,5400,
236,64 MB,1 TB,,"3.5""",17.59,,SATA 6 Gb/s,Seagate,,,ST1000DM004,,$0.057,7200,
237,128 MB,4 TB,,"3.5""",50.73,,SAS 6 Gb/s,Seagate,,,ST4000NM0023,,$0.020,7200,
238,,2 TB,Green / Blue,M.2-2280,5.95,,M.2 (M),Mushkin,,,MKNSSDPL2TB-D8,,$0.168,,
239,,240 GB,,"2.5""",7.58,,SATA 6 Gb/s,Addlink,,,ad240GBS10S3,,$0.132,,
240,,1.05 TB,,"2.5""",4.59,,SATA 6 Gb/s,Crucial,,,CT1050MX300SSD1,,$0.218,,
241,,500 GB,,M.2-2280,5.01,,M.2 (B+M),Western Digital,,,WDS500G1B0B,,$0.200,,
242,64 MB,1 TB,,"3.5""",15.65,,SATA 3 Gb/s,Western Digital,,,WD10EARS,,$0.064,5400,
243,,480 GB,,"2.5""",7.33,,SATA 6 Gb/s,Transcend,,,TS480GSSD220S,,$0.136,,
244,256 MB,4 TB,,"3.5""",22.86,,SATA 6 Gb/s,Western Digital,,,WD4003FFBX,,$0.044,7200,
245,512 MB,256 GB,Black / Silver,M.2-2280,4.66,,M.2 (M),Patriot,,,VPN100-256GM28H,,$0.215,,
246,,240 GB,Black,"2.5""",4.07,,SATA 6 Gb/s,Kingston,,,SHFR200/240G,,$0.246,,
247,,250 GB,Blue / Black,M.2-2280,4.72,,M.2 (B+M),Western Digital,,,WDS250G1B0C,,$0.212,,
248,64 MB,500 GB,,"3.5""",3.73,,SATA 6 Gb/s,Western Digital,,,WD5000HHTZ,,$0.268,10000,
249,,250 GB,Black,M.2-2280,3.67,,M.2 (M),Western Digital,,,WDS250G3X0C / WDS250G3X0C-00SJG0,,$0.272,,
250,16 MB,500 GB,,"2.5""",7.94,,SATA 3 Gb/s,Toshiba,,,MK5061GSYN,,$0.126,7200,
251,,250 GB,,M.2-2280,5.01,,M.2 (B+M),Crucial,,,CT250MX500SSD4,,$0.200,,
252,,960 GB,Black / Green,"2.5""",9.60,,SATA 6 Gb/s,ADATA,,,ASU630SS-960GQ-R,,$0.104,,
253,,1 TB,Black,M.2-2280,4.39,,M.2 (M),Western Digital,,,WDS100T3X0C / WDS100T3X0C-00SJG0,,$0.228,,
254,64 MB,2 TB,,"3.5""",18.52,,SATA 6 Gb/s,Western Digital,,,WDBMMA0020HNC-NRSN,,$0.054,5400,
255,,8 TB,Silver,"2.5""",3.77,,U.2,Intel,,,SSDPE2KX080T801,,$0.266,,
256,256 MB,6 TB,,"3.5""",32.29,,SATA 6 Gb/s,Seagate,,,ST6000VX0023,,$0.031,5900,
257,64 MB,3 TB,,"3.5""",33.37,,SATA 6 Gb/s,Seagate,,,ST3000VN007,,$0.030,5900,
258,,120 GB,,"2.5""",4.00,,SATA 6 Gb/s,SK hynix,,,HFS120G32TND-N1A2A,,$0.250,,
259,1 GB,1 TB,,M.2-2280,5.95,,M.2 (B+M),Samsung,,,MZ-N6E1T0BW,,$0.168,,
260,64 MB,4 TB,,"3.5""",16.14,,SATA 6 Gb/s,Western Digital,,,WD4000FYYZ,,$0.062,7200,
261,512 MB,512 GB,Black,M.2-2280,6.83,,M.2 (M),HP,,,2YY46AA#ABC,,$0.146,,
262,64 MB,4 TB,,"3.5""",50.31,,SATA 6 Gb/s,Hitachi,,,0F14683,,$0.020,7200,
263,,960 GB,,M.2-2280,4.36,,M.2 (M),Kingston,,,SKC1000/960G,,$0.229,,
264,256 MB,12 TB,,"3.5""",30.77,,SATA 6 Gb/s,Toshiba,,,HDWR21CXZSTA,,$0.032,7200,
265,,480 GB,,"2.5""",4.44,,SATA 6 Gb/s,Kingston,,,SUV500B/480G,,$0.225,,
266,,960 GB,,"2.5""",8.74,,SATA 6 Gb/s,ADATA,,,ASU650SS-960GT-R,,$0.114,,
267,256 MB,4 TB,,"3.5""",40.47,,SATA 6 Gb/s,Seagate,,,ST4000DM004,,$0.025,5400,
268,256 MB,10 TB,,"3.5""",35.72,,SATA 6 Gb/s,Western Digital,,,WD100EFAX,,$0.028,5400,
269,64 MB,1 TB,,"3.5""",7.84,8.389 GB,SATA 6 Gb/s,Seagate,,,ST1000DX001,,$0.128,7200,
270,,512 GB,,"2.5""",4.65,,SATA 6 Gb/s,Mushkin,,,MKNSSDEC512GB,,$0.215,,
271,,256 GB,,M.2-2280,3.66,,M.2 (M),Intel,,,SSDPEKKF256G7X1,,$0.273,,
272,64 MB,2 TB,,"3.5""",28.99,,SATA 6 Gb/s,Hitachi,,,0F14685,,$0.034,7200,
273,32 MB,300 GB,,"3.5""",2.69,,SATA 6 Gb/s,Western Digital,,,WD3000HLHX,,$0.372,10000,
274,,480 GB,Black,M.2-2280,6.00,,M.2 (M),Corsair,,,CSSD-F480GBMP510,,$0.167,,
275,64 MB,3 TB,,"3.5""",54.64,,SATA 6 Gb/s,Seagate,,,ST33000650NS,,$0.018,7200,
276,32 MB,500 GB,,"3.5""",21.79,,SATA 6 Gb/s,Toshiba,,,HDKPC05,,$0.046,7200,
277,64 MB,500 GB,,"2.5""",14.71,8.389 GB,SATA 6 Gb/s,Seagate,,,ST500LM000,,$0.068,5400,
278,,240 GB,,"2.5""",3.43,,SATA 6 Gb/s,Kingston,,Varies,SV300S37A/240G,,$0.291,,Sandforce SF-2281
279,32 MB,1 TB,,"3.5""",19.27,,SATA 3 Gb/s,Seagate,,,ST31000340NS - FFP,,$0.052,7200,
280,32 MB,2 TB,,"3.5""",42.65,,SATA 3 Gb/s,Hitachi,,,0F10311,,$0.023,7200,
281,128 MB,6 TB,,"3.5""",26.84,,SATA 6 Gb/s,Seagate,,,ST6000AS0002,,$0.037,5900,
282,16 MB,640 GB,,"3.5""",13.34,,SATA 3 Gb/s,Western Digital,,,WD6400AAKS,,$0.075,7200,
283,128 MB,2 TB,,"2.5""",13.42,,SATA 6 Gb/s,Seagate,,,ST2000NX0303,,$0.074,7200,
284,128 MB,6 TB,,"3.5""",32.79,,SATA 6 Gb/s,Seagate,,,ST6000NM0024,,$0.030,7200,
285,,128 GB,Green / Black,M.2-2280,1.89,,M.2 (B+M),Intenso,,,3832430,,$0.530,,
286,,120 GB,,"2.5""",6.00,,SATA 6 Gb/s,Kingston,,,SA400S37/120G,,$0.167,,
287,32 MB,3 TB,,"3.5""",35.72,,SATA 3 Gb/s,Western Digital,,,WDBH2D0030HNC-NRSN,,$0.028,5900,
288,8 MB,160 GB,,"3.5""",2.11,,SATA 3 Gb/s,Western Digital,,,WD1600AVJS,,$0.475,7200,
289,,240 GB,,"2.5""",8.00,,SATA 6 Gb/s,Kingston,,,SA400S37/240G,,$0.125,,
290,,960 GB,,"2.5""",4.07,,SATA 6 Gb/s,Transcend,,TLC (toggle),TS960GSSD220S,,$0.246,,
291,,240 GB,,"2.5""",6.02,,SATA 6 Gb/s,Silicon Power,,,SP240GBSS3S55S25AE,,$0.166,,
292,,256 GB,,"2.5""",6.57,,SATA 6 Gb/s,ADATA,,,ASU800SS-256GT-C,,$0.152,,
293,,240 GB,,"2.5""",8.28,,SATA 6 Gb/s,Team,,,T253LE240GTC101,,$0.121,,
294,256 MB,10 TB,,"3.5""",30.30,,SATA 6 Gb/s,Seagate,,,ST10000NE0004,,$0.033,7200,
295,32 MB,500 GB,,"3.5""",14.29,,SATA 3 Gb/s,Hitachi,A7K2000,,0F11000,,$0.070,7200,
296,16 MB,500 GB,,"3.5""",7.14,,SATA 6 Gb/s,Seagate,,,ST500DM002,,$0.140,7200,
297,16 MB,300 GB,,"2.5""",5.02,,SATA 3 Gb/s,Western Digital,,,WD3000BLFS,,$0.199,10000,
298,,1 TB,White,"2.5""",8.00,,SATA 6 Gb/s,Team,,,T253TR001T3C413,,$0.125,,
299,,480 GB,,M.2-2280,2.91,,M.2 (M),Corsair,,,CSSD-F480GBMP500,,$0.344,,
