,Color,Dimensions,"External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays",Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Part Number,Type
325,Black / Red,,,,,,True,False,1,1,,Antec,"450 mm / 17.717""",,"ATX, Micro ATX, Mini ITX",TORQUE,ATX Mid Tower
326,Black,533 mm x 241 mm x 463 mm,,3,,,True,False,4,3,,Raidmax,,,"ATX, Micro ATX, Mini ITX",ATX-502WBG,ATX Mid Tower
327,Black,480 mm x 226 mm x 445 mm,,,,,True,False,2,2,,Inwin,"305 mm / 12.008"" With Drive Cages, 421 mm / 16.575"" Without Drive Cages",,"ATX, Micro ATX, Mini ITX",101 Black,ATX Mid Tower
328,Black,,,,,,True,False,6,5,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 801 | Black,"ATX, EATX, Micro ATX, Mini ITX",BG029,ATX Mid Tower
329,Black,,,,,,True,False,2,2,,Corsair,"370 mm / 14.567""",Crystal 570X RGB,"ATX, Micro ATX, Mini ITX",CC-9011098-WW,ATX Mid Tower
330,Black / White,,,1,,,True,False,2,6,,Fractal Design,"300 mm / 11.811"" With Drive Cages, 440 mm / 17.323"" Without Drive Cages",Define R6 Black TG,"ATX, EATX, Micro ATX, Mini ITX",FD-CA-DEF-R6-BK-TG,ATX Mid Tower
331,Black / Silver,,,,,,True,False,4,3,,Corsair,"380 mm / 14.961""",SPEC-ALPHA (Black),"ATX, Micro ATX, Mini ITX",CC-9011084-WW,ATX Mid Tower
332,Black,385 mm x 210 mm x 373 mm,1,2,,,True,False,1,4,,Silverstone,"336 mm / 13.228""",,"Micro ATX, Mini ITX, Thin Mini ITX",TJ08B-E / SST-TJ08B-E,MicroATX Mini Tower
333,White / Black,,,1,,,True,False,1,2,,Apevia,"290 mm / 11.417""",,"Micro ATX, Mini ITX",X-EnerQ-WHT,MicroATX Mid Tower
334,Black / Red,,,,,,True,False,4,3,,Corsair,"380 mm / 14.961""",SPEC-ALPHA (Black/Red),"ATX, Micro ATX, Mini ITX",CC-9011085-WW,ATX Mid Tower
335,Black,,,1,,,True,False,3,3,,Rosewill,,,"Micro ATX, Mini ITX",SCM-01,MicroATX Mini Tower
336,Black / White,,,5,,,True,False,12,6,,Phanteks,"257 mm / 10.118"" With Drive Cages, 515 mm / 20.276"" Without Drive Cages",Enthoo Primo,"ATX, EATX, Micro ATX, Mini ITX, SSI EEB",PH-ES813P_SWT,ATX Full Tower
337,Black,412 mm x 203 mm x 344 mm,,,,,True,False,2,2,,Fractal Design,"315 mm / 12.402""",Define Nano S,Mini ITX,FD-CA-DEF-NANO-S-BK-W,Mini ITX Desktop
338,Black,,,,,,True,False,3,4,,Phanteks,"294 mm / 11.575"" With Drive Cages, 435 mm / 17.126"" Without Drive Cages",ECLIPSE P600S,"ATX, Micro ATX, Mini ITX",PH-EC600PSTG_BK01,ATX Mid Tower
339,Black,,,,,,True,False,2,2,,Phanteks,"529 mm / 20.827""",ENTHOO EVOLV SHIFT X,Mini ITX,PH-ES217XE_BK,Mini ITX Tower
340,Black,,,,,1,True,False,3,1,,Silverstone,"330 mm / 12.992""",,"Mini DTX, Mini ITX",RVZ01B / SST-RVZ01B,Mini ITX Desktop
341,Black / Blue,264 mm x 99 mm x 309 mm,,1,,,True,300 W,,2,,Inwin,,,Mini ITX,BP655.FH300TB3,Mini ITX Tower
342,Black,150 mm x 439 mm x 340 mm,,1,,,True,False,,4,,Silverstone,"279 mm / 10.984""",,"Micro ATX, Mini ITX, Thin Mini ITX",GD06B / SST-GD06B,HTPC
343,Black / Red,372 mm x 210 mm x 349 mm,,,,,True,False,3,1,,NZXT,"325 mm / 12.795""",H200i (Black/Red),Mini ITX,CA-H200W-BR,Mini ITX Tower
344,Silver / Black,,,2,,,True,False,2,7,,be quiet!,"323 mm / 12.717"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Dark Base Pro 900 | Silver rev. 2,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",BGW16,ATX Full Tower
345,Black,,,,,,True,False,2,3,,Fractal Design,"440 mm / 17.323""",Meshify S2 Black – TG,"ATX, Micro ATX, Mini ITX",FD-CA-MESH-S2-BKO-TGL,ATX Mid Tower
346,Black,466 mm x 218 mm x 475 mm,,,,,True,False,2,2,,Raidmax,"390 mm / 15.354""",,"ATX, Micro ATX, Mini ITX",Zeta B04,ATX Mid Tower
347,Black,,,,,,True,False,1,4,,Thermaltake,"250 mm / 9.843"" With Drive Cages, 360 mm / 14.173"" Without Drive Cages",Versa N27,"ATX, Micro ATX, Mini ITX",CA-1H6-00M1WN-02,ATX Mid Tower
348,Black,424 mm x 320 mm x 336 mm,,,,,True,False,3,3,,Thermaltake,"350 mm / 13.78""",Core V21,"Micro ATX, Mini ITX",CA-1D5-00S1WN-00,MicroATX Mini Tower
349,Black / Silver,,,2,,,True,False,8,7,,be quiet!,"323 mm / 12.717"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Dark Base 900 (Black/Silver),"ATX, EATX, Micro ATX, Mini ITX, XL ATX",BG012,ATX Full Tower
350,Black,323 mm x 99 mm x 400 mm,1,1,,,False,275 W,,1,,Apex,,,"Flex ATX, Micro ATX, Mini ITX",DM-387,HTPC
351,Black / Green,438 mm x 203 mm x 470 mm,,1,,,True,False,2,2,,Apevia,"345 mm / 13.583"" With Drive Cages, 375 mm / 14.764"" Without Drive Cages",X-MIRAGE (Black/Green),"ATX, Micro ATX, Mini ITX",X-MIRAGE-GN,ATX Mid Tower
352,Black,534 mm x 234 mm x 549 mm,,3,,,True,False,1,6,,Phanteks,"347 mm / 13.661"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Enthoo Pro,"ATX, EATX, Micro ATX, Mini ITX, SSI EEB",PH-ES614PC_BK,ATX Full Tower
353,Black,500 mm x 200 mm x 440 mm,,2,,,True,False,,3,,Rosewill,"400 mm / 15.748""",,"ATX, Micro ATX, Mini ITX",TYRFING,ATX Mid Tower
354,White,425 mm x 215 mm x 464 mm,,,,,True,False,3,2,,Corsair,"370 mm / 14.567""",Carbide 400C White,"ATX, EATX, Micro ATX, Mini ITX",CC-9011095-CN / CC-9011095-WW,ATX Mid Tower
355,White,,,,,,True,False,2,3,,Fractal Design,"440 mm / 17.323""",Define S2 White – TG,"ATX, Micro ATX, Mini ITX",FD-CA-DEF-S2-WT-TGC,ATX Mid Tower
356,Black,411 mm x 210 mm x 411 mm,,1,,,True,False,4,4,,Cooler Master,"346 mm / 13.622""",MasterBox NR400 (w/ODD),"Micro ATX, Mini ITX",MCB-NR400-KG5N-S00,MicroATX Mid Tower
357,Black,,,2,,,True,False,3,3,,Deepcool,"390 mm / 15.354""",,"ATX, Micro ATX, Mini ITX",DUKASE V2,ATX Mid Tower
358,Black / Blue,372 mm x 210 mm x 349 mm,,,,,True,False,3,1,,NZXT,"325 mm / 12.795""",H200 (Black/Blue),Mini ITX,CA-H200B-BL,Mini ITX Tower
359,Black,,,2,,,True,False,4,2,,Cougar,"390 mm / 15.354""",,"ATX, EATX, Micro ATX, Mini ITX, SSI CEB",Panzer Max,ATX Full Tower
360,Black,550 mm x 235 mm x 560 mm,,3,,,True,False,2,6,,Phanteks,"347 mm / 13.661"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Enthoo Luxe Tempered Glass (Black),"ATX, EATX, Micro ATX, SSI EEB",PH-ES614LTG_BK,ATX Full Tower
361,Black / White,500 mm x 235 mm x 480 mm,,1,,,True,False,3,8,,Phanteks,"300 mm / 11.811"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages",Enthoo Pro M Tempered Glass (Black/White),"ATX, EATX, Micro ATX, Mini ITX",PH-ES515PTG_SWT,ATX Mid Tower
362,White / Black,,,,,,True,False,4,2,,Thermaltake,"410 mm / 16.142""",View 27 Snow Edition,"ATX, Micro ATX, Mini ITX",CA-1G7-00M6WN-WT,ATX Mid Tower
363,Gray,,,,,,True,False,2,1,,Phanteks,"350 mm / 13.78""",ENTHOO EVOLV SHIFT,Mini ITX,PH-ES217E_AG,Mini ITX Tower
364,Black,,,,1,,True,False,1,1,,Silverstone,"254 mm / 10""",,"Mini DTX, Mini ITX, Thin Mini ITX",SG05BB-LITE / SST-SG05BB-LITE,Mini ITX Desktop
365,Black,,,,,,True,False,3,3,,Rosewill,"420 mm / 16.535""",,"ATX, EATX, Micro ATX",CULLINAN,ATX Mid Tower
366,Gray,559 mm x 231 mm x 558 mm,,4,,,True,False,,8,,Fractal Design,"330 mm / 12.992"" With Drive Cages, 480 mm / 18.898"" Without Drive Cages",Define XL R2 (Titanium Grey),"ATX, EATX, Micro ATX, Mini ITX, Thin Mini ITX, XL ATX",FD-CA-DEF-XL-R2-TI,ATX Full Tower
367,White,,,,,,True,650 W,2,,,Inwin,"320 mm / 12.598""",A1 PLUS WHITE,Mini ITX,IW-A1PLUS-WHITE,Mini ITX Tower
368,White / Blue,,,3,,,True,False,4,4,,Apevia,,,"ATX, Micro ATX",X-PIONEER-WHT,ATX Mid Tower
369,Black,,,,,,True,False,2,2,,Antec,"360 mm / 14.173""",Dark Phantom DP301M,"Micro ATX, Mini ITX",DP301M,MicroATX Mid Tower
370,Black / Blue,428 mm x 210 mm x 460 mm,,,,,True,False,3,3,,NZXT,"381 mm / 15""",H500i (Black/Blue),"ATX, Micro ATX, Mini ITX",CA-H500W-BL,ATX Mid Tower
371,Black,,,3,,,True,False,1,9,,Cooler Master,"423 mm / 16.654""",Silencio 652S,"ATX, Micro ATX, Mini ITX",SIL-652-KKN2,ATX Mid Tower
372,White,,,,,,True,False,1,4,,Thermaltake,"250 mm / 9.843"" With Drive Cages, 360 mm / 14.173"" Without Drive Cages",Versa N27,"ATX, Micro ATX, Mini ITX",CA-1H6-00M6WN-02,ATX Mid Tower
373,Black,615 mm x 270 mm x 750 mm,,1,,,True,False,4,6,,Phanteks,,Enthoo Elite (Black),"ATX, EATX, Micro ATX, Mini ITX",PH-ES916E_BK,ATX Full Tower
374,White,544 mm x 242 mm x 542 mm,,,,,True,False,2,2,,Cooler Master,"412 mm / 16.22""",MasterCase H500P Mesh White,"ATX, Micro ATX, Mini ITX",MCM-H500P-WGNN-S00,ATX Mid Tower
375,Black,426 mm x 340 mm x 510 mm,,,,,True,False,4,3,,Corsair,"330 mm / 12.992""",Air 740,"ATX, Micro ATX, Mini ITX",CC-9011096-WW,ATX Full Tower
376,Black / Blue,,,1,,,True,False,3,2,,Cooler Master,"363 mm / 14.291""",MasterBox E300L,"Micro ATX, Mini ITX",MCB-E300L-KN5N-B01,MicroATX Mini Tower
