,Color,Dimensions,"External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays",Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Part Number,Type
418,Black,,,,,,True,False,3,2,,DIYPC,"400 mm / 15.748""",,"ATX, Micro ATX",DIY-BG01,ATX Mid Tower
419,Black,,1,2,,,True,400 W,,5,,Rosewill,,,"Micro ATX, Mini ITX",R521-M,MicroATX Mini Tower
420,Black,216 mm x 502 mm x 642 mm,,5,,,True,False,1,5,,Silverstone,"304 mm / 11.969"" With Drive Cages, 309 mm / 12.165"" Without Drive Cages",RV02B-EW-USB3.0 (Black),"ATX, Micro ATX, Mini ITX, SSI CEB",SST-RV02B-EW-USB3.0 / RV02B-EW-USB3.0,ATX Full Tower
421,Black,279 mm x 615 mm x 659 mm,,5,,,True,False,6,6,,Silverstone,"337 mm / 13.268""",Raven,"ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB",RV01B-W-USB3.0 / SST-RV01B-W-USB3.0,ATX Full Tower
422,Black,455 mm x 204 mm x 471 mm,,,,,True,False,3,2,,Thermaltake,"260 mm / 10.236"" With Drive Cages, 366 mm / 14.409"" Without Drive Cages",Level 20 MT ARGB,"ATX, Micro ATX, Mini ITX",CA-1M7-00M1WN-00,ATX Mid Tower
423,,400 mm x 200 mm x 450 mm,,,,,True,False,1,2,,Phanteks,"330 mm / 12.992""",Eclipse P300 Tempered Glass (Black/Red),"ATX, Micro ATX, Mini ITX",PH-EC300PTG_BR,ATX Mid Tower
424,White / Black,,,1,,,True,False,2,6,,Fractal Design,"300 mm / 11.811"" With Drive Cages, 440 mm / 17.323"" Without Drive Cages",Design Define R6 USB-C - TG,"ATX, EATX, Micro ATX, Mini ITX",FD-CA-DEF-R6C-WT-TGC,ATX Mid Tower
425,Black,,,2,,,True,False,2,3,,Silverstone,"411 mm / 16.181""",PS11B-W,"ATX, Micro ATX",SST-PS11B-W / PS11B-W,ATX Mid Tower
426,Black / Orange,,,2,,,True,False,8,7,,be quiet!,"323 mm / 12.717"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Dark Base 900 (Black/Orange),"ATX, EATX, Micro ATX, Mini ITX, XL ATX",BG010,ATX Full Tower
427,Black / Green,335 mm x 172 mm x 355 mm,1,1,,,True,False,,1,,DIYPC,"315 mm / 12.402""",,Micro ATX,MA01-G,MicroATX Mini Tower
428,Black / Yellow,492 mm x 201 mm x 433 mm,,,,,True,False,2,3,,Corsair,"370 mm / 14.567""",Carbide SPEC-04 (Black/Yellow),"ATX, Micro ATX, Mini ITX",CC-9011108-WW,ATX Mid Tower
429,Black / Blue,,,,,,True,False,3,1,,NZXT,"411 mm / 16.181""",H400i,"Micro ATX, Mini ITX",CA-H400W-BL,MicroATX Mini Tower
430,Black / Clear,,,,1,,True,False,2,1,,Silverstone,"330 mm / 12.992""",RVZ02B-W,Mini ITX,SST-RVZ02B-W / RVZ02B-W,HTPC
431,Black / Red,370 mm x 208 mm x 365 mm,,,,,True,False,2,1,,Inwin,"330 mm / 12.992""",,"Micro ATX, Mini ITX",301 Black,MicroATX Mini Tower
432,Black / Blue,,,3,,,True,False,3,3,,DIYPC,"330 mm / 12.992""",,"ATX, Micro ATX",Skyline-06-WB,ATX Full Tower
433,Black / Blue,438 mm x 203 mm x 470 mm,,1,,,True,False,2,2,,Apevia,"345 mm / 13.583"" With Drive Cages, 375 mm / 14.764"" Without Drive Cages",X-MIRAGE (Black/Blue),"ATX, Micro ATX, Mini ITX",X-MIRAGE-BL,ATX Mid Tower
434,Black,,,2,,,True,False,,4,,Corsair,"275 mm / 10.827"" With Drive Cages, 414 mm / 16.299"" Without Drive Cages",100R,"ATX, Micro ATX, Mini ITX",CC-9011075-WW,ATX Mid Tower
435,Black,,,,,,True,False,2,2,,Phanteks,"280 mm / 11.024"" With Drive Cages, 395 mm / 15.551"" Without Drive Cages",ECLIPSE P400 TEMPERED GLASS,"ATX, EATX, Micro ATX, Mini ITX",PH-EC416PTG_BK,ATX Mid Tower
436,Black,,,,1,,True,False,4,,,Silverstone,"175 mm / 6.89""",,Mini ITX,ML09B / SST-ML09B,HTPC
437,Black,,,,,,True,False,2,2,,Corsair,"370 mm / 14.567""",270R,"ATX, Micro ATX, Mini ITX",CC-9011105-WW,ATX Mid Tower
438,White,,,,,,True,False,2,2,,Corsair,"370 mm / 14.567""",Crystal 570X RGB White,"ATX, Micro ATX, Mini ITX",CC-9011110-WW,ATX Mid Tower
439,Black,,,,,,True,False,2,2,,Deepcool,"370 mm / 14.567""",MATREXX 55 ADD-RGB,"ATX, EATX, Micro ATX, Mini ITX",MATREXX 55 A-RGB 3F / DP-ATX-MATREXX55-AR-3F,ATX Mid Tower
440,Black / Red,,,3,,,True,False,4,6,,Corsair,"450 mm / 17.717""",760T Black V2,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",CC-9011073-WW,ATX Full Tower
441,Black,445 mm x 272 mm x 446 mm,,,,,True,False,4,2,,Lian-Li,"420 mm / 16.535""",PC-O11 Dynamic (Black),"ATX, EATX, Micro ATX, Mini ITX",PC-O11DX,ATX Full Tower
442,Black / Silver,492 mm x 220 mm x 470 mm,,2,,,True,False,5,3,,be quiet!,"280 mm / 11.024"" With Drive Cages, 425 mm / 16.732"" Without Drive Cages",Pure Base 600 (Black/Silver),"ATX, Micro ATX, Mini ITX",BG022,ATX Mid Tower
443,Black / Orange,492 mm x 220 mm x 470 mm,,2,,,True,False,5,3,,be quiet!,"280 mm / 11.024"" With Drive Cages, 425 mm / 16.732"" Without Drive Cages",Pure Base 600 w/Window (Black/Orange),"ATX, Micro ATX, Mini ITX",BGW20,ATX Mid Tower
444,Black,450 mm x 230 mm x 546 mm,,,,,True,False,4,4,,Lian-Li,"400 mm / 15.748""",,"ATX, Micro ATX, Mini ITX",ALPHA 550X,ATX Mid Tower
445,Black,457 mm x 277 mm x 506 mm,,,,,True,False,4,4,,Lian-Li,"430 mm / 16.929""",PC-O11 WX,"ATX, EATX, Micro ATX, Mini ITX",PC-O11WX,ATX Full Tower
446,Black,,,,,,True,False,2,3,,Fractal Design,"425 mm / 16.732"" With Drive Cages, 450 mm / 17.717"" Without Drive Cages",Define S w/Window,"ATX, Micro ATX, Mini ITX",FD-CA-DEF-S-BK-W,ATX Mid Tower
447,Black,513 mm x 228 mm x 469 mm,,3,,,True,False,2,6,,Antec,"318 mm / 12.52""",,"ATX, Micro ATX, Mini ITX, Thin Mini ITX",Three Hundred Two,ATX Mid Tower
448,Black,452 mm x 210 mm x 489 mm,,,,,True,False,3,2,,BitFenix,"340 mm / 13.386""",Enso Mesh (Black),"ATX, Micro ATX, Mini ITX",BFC-ESM-150-KKWGK-RP,ATX Mid Tower
449,Black,,,,,,True,False,2,6,,Antec,"390 mm / 15.354""",,"ATX, Micro ATX, Mini ITX",P110 Silent,ATX Mid Tower
450,Black,,,,,,False,False,1,,,Silverstone,,,Thin Mini ITX,SST-PT13B / PT13B,HTPC
451,Black,,,,,,True,False,2,2,,DIYPC,"375 mm / 14.764""",,"ATX, Micro ATX, Mini ITX",Crystal-P3-RGB,ATX Mid Tower
452,Black,,,,,,True,False,2,2,,Metallic Gear,"360 mm / 14.173""",NEO,"ATX, Micro ATX, Mini ITX",MG-NE510_BK01,ATX Mid Tower
453,Black / Red,,,1,,,True,False,2,3,,DIYPC,"340 mm / 13.386""",,"Micro ATX, Mini ITX",Cuboid-R,MicroATX Mini Tower
454,Black,,,1,,,True,False,3,2,,Zalman,"250 mm / 9.843"" With Drive Cages, 300 mm / 11.811"" Without Drive Cages",,"Micro ATX, Mini ITX",T2 Plus / ZM-T2 PLUS,MicroATX Mini Tower
455,White / Black,,,,,,True,False,3,6,,Corsair,"370 mm / 14.567""",Carbide Series 678C,"ATX, EATX, Micro ATX, Mini ITX",CC-9011170-WW,ATX Mid Tower
456,White,,,,,,True,False,4,2,,Corsair,"370 mm / 14.567""",Carbide SPEC-06,"ATX, Micro ATX, Mini ITX",CC-9011145-WW,ATX Mid Tower
457,Black,455 mm x 211 mm x 460 mm,,,,,True,False,3,2,,Corsair,"370 mm / 14.567""",Carbide Series 275R (Black),"ATX, Micro ATX, Mini ITX",CC-9011130-WW,ATX Mid Tower
458,Black,,,,,,True,False,2,1,,Metallic Gear,"345 mm / 13.583""",NEO MINI,Mini ITX,MG-NE210_BK01,Mini ITX Tower
459,Black,,,,,,True,False,2,3,,Silverstone,"370 mm / 14.567""",LD01B,"Micro ATX, Mini ITX",SST-LD01B / LD01B,MicroATX Mini Tower
460,,477 mm x 211 mm x 483 mm,,,,,True,False,2,2,,EVGA,"390 mm / 15.354""",DG-76 Alpine White,"ATX, Micro ATX, Mini ITX",166-W1-2232-KR,ATX Mid Tower
461,Black,,,,,,True,False,2,3,1,Azza,"380 mm / 14.961""",Photios250,"ATX, Micro ATX, Mini ITX",CSAZ-250,ATX Mid Tower
462,Black,,,,,,True,False,3,2,,Corsair,"370 mm / 14.567""",Carbide 400C,"ATX, EATX, Micro ATX, Mini ITX",CC-9011081-WW,ATX Mid Tower
463,White / Purple,429 mm x 184 mm x 469 mm,,2,,,True,False,3,3,,BitFenix,"300 mm / 11.811""",Neos White/Purple,"ATX, Micro ATX, Mini ITX",BFC-NEO-100-WWWKP-RP,ATX Mid Tower
464,Black,,,,,,True,False,2,3,,Rosewill,"440 mm / 17.323""",PRISM S500,"ATX, Micro ATX, Mini ITX",R0901001-0118,ATX Mid Tower
465,Black,285 mm x 222 mm x 181 mm,,,,,True,False,1,1,,Silverstone,"267 mm / 10.512""",Sugo SG13B,"Mini DTX, Mini ITX",SST-SG13B / SG13B,Mini ITX Tower
466,White / Black,556 mm x 232 mm x 580 mm,,6,,,True,False,,6,,Rosewill,"330 mm / 12.992""",,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",THOR V2-W,ATX Full Tower
467,Black,,,1,,,True,False,4,2,,Enermax,"280 mm / 11.024"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages",SABERAY RGB,"ATX, Micro ATX, Mini ITX",ECA3500BA-RGB,ATX Mid Tower
468,Black / Blue,421 mm x 210 mm x 417 mm,,,,,True,False,3,1,,NZXT,"411 mm / 16.181""",H400 (Black/Blue),"Micro ATX, Mini ITX",CA-H400B-BL,MicroATX Mini Tower
469,Black / Silver,,,,,,True,False,,3,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 601 | Window Silver,"ATX, EATX, Micro ATX, Mini ITX",BGW27,ATX Mid Tower
470,Black,,,,,,True,False,4,2,,Azza,"400 mm / 15.748""",Chroma 410A,"ATX, Micro ATX, Mini ITX",CSAZ-410A,ATX Mid Tower
471,Black / Red,579 mm x 250 mm x 606 mm,,1,,,True,False,4,2,,Cooler Master,"322 mm / 12.677""",Trooper SE,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",SGC-5000-KWN2,ATX Full Tower
472,Black,,,,1,,True,False,2,,,Silverstone,"330 mm / 12.992""",ML08B-H,Mini ITX,SST-ML08B-H / ML08B-H,HTPC
473,Black,205 mm x 99 mm x 350 mm,,,,1,True,False,4,,,Silverstone,,,Mini ITX,ML06B / SST-ML06B,HTPC
474,White,,2,,,,True,False,,2,,Thermaltake,"280 mm / 11.024"" With Drive Cages, 450 mm / 17.717"" Without Drive Cages",Core P3 Snow Edition,"ATX, Micro ATX, Mini ITX",CA-1G4-00M6WN-05 / CA-1G4-00M6WN-00,ATX Mid Tower
475,Black / White,,,,,,True,False,2,2,,Phanteks,"280 mm / 11.024"" With Drive Cages, 395 mm / 15.551"" Without Drive Cages",ECLIPSE P400 TEMPERED GLASS,"ATX, EATX, Micro ATX, Mini ITX",PH-EC416PTG_BW,ATX Mid Tower
476,Black / Red,,,,,,True,False,2,3,,DIYPC,"415 mm / 16.339""",,"ATX, Micro ATX, Mini ITX",IllusionII-BR,ATX Mid Tower
477,Black / White,,,,,,True,False,2,2,,Phanteks,"280 mm / 11.024"" With Drive Cages, 395 mm / 15.551"" Without Drive Cages",ECLIPSE P400S TEMPERED GLASS,"ATX, EATX, Micro ATX, Mini ITX",PH-EC416PSTG_BW,ATX Mid Tower
478,Black,361 mm x 177 mm x 436 mm,1,2,,,True,300 W,,5,,Apex,,,"Flex ATX, Micro ATX, Mini ITX",TX-606-U3,MicroATX Mid Tower
479,Black,427 mm x 195 mm x 473 mm,,1,,,True,False,2,2,,Cougar,"350 mm / 13.78""",,"ATX, Micro ATX, Mini ITX",MX330-X,ATX Mid Tower
480,Black,559 mm x 231 mm x 558 mm,,4,,,True,False,,8,,Fractal Design,"330 mm / 12.992"" With Drive Cages, 480 mm / 18.898"" Without Drive Cages",Define XL R2 (Black Pearl),"ATX, EATX, Micro ATX, Mini ITX, Thin Mini ITX, XL ATX",FD-CA-DEF-XL-R2-BL,ATX Full Tower
481,White,249 mm x 329 mm x 373 mm,,,,,True,False,5,5,,BitFenix,"320 mm / 12.598""",Phenom M Arctic White,"Micro ATX, Mini ITX",BFC-PHM-300-WWXKK-RP,MicroATX Mini Tower
482,White,464 mm x 205 mm x 444 mm,,2,,,True,False,1,2,,Fractal Design,"380 mm / 14.961""",Focus G (White),"ATX, Micro ATX, Mini ITX",FD-CA-FOCUS-WT-W,ATX Mid Tower
483,Black,550 mm x 235 mm x 535 mm,,3,,,True,False,2,6,,Phanteks,"347 mm / 13.661"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Enthoo Pro TG RGB,"ATX, EATX, Micro ATX, Mini ITX, SSI EEB",PH-ES614PTG_BK,ATX Full Tower
484,White / Black,,,,,,True,False,3,7,,be quiet!,"286 mm / 11.26"" With Drive Cages, 430 mm / 16.929"" Without Drive Cages",Dark Base 700 White Edition,"ATX, Micro ATX, Mini ITX",BGW33,ATX Mid Tower
485,Black,201 mm x 378 mm x 445 mm,,1,,,True,False,4,3,,Cooler Master,"355 mm / 13.976""",N200,"Micro ATX, Mini ITX",NSE-200-KKN1,MicroATX Mini Tower
486,Black,,,,,,True,False,4,2,,Cooler Master,"410 mm / 16.142""",MasterBox MB530P,"ATX, Micro ATX, Mini ITX",MCB-B530P-KHNN-S01,ATX Mid Tower
487,Black,,,10,,,True,False,,6,,Lian-Li,"330 mm / 12.992""",,"ATX, EATX, Micro ATX, Mini ITX",PC-D600WB,ATX Full Tower
488,Black,471 mm x 208 mm x 492 mm,,,,,True,False,2,2,,Thermaltake,"410 mm / 16.142""",View 21 Tempered Glass Edition,"ATX, Micro ATX, Mini ITX",CA-1I3-00M1WN-00,ATX Mid Tower
489,Black / Orange,,,,,,True,False,6,5,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 801 | Window Orange,"ATX, EATX, Micro ATX, Mini ITX",BGW28,ATX Mid Tower
490,Black,,,,,,True,False,1,2,,Cooler Master,"400 mm / 15.748""",MasterBox K500 Phantom Gaming Edition RGB,"ATX, Micro ATX, Mini ITX",MCB-K500D-KGNN-ASR,ATX Mid Tower
491,Black,,,,,1,True,False,2,1,,Silverstone,"330 mm / 12.992""",,"Mini DTX, Mini ITX",FTZ01B,Mini ITX Desktop
492,White,500 mm x 220 mm x 475 mm,,,,,True,False,1,2,,Cooler Master,"410 mm / 16.142""",MasterBox 5 (White),"ATX, Micro ATX, Mini ITX",MCX-B5S2-WWNN-01,ATX Mid Tower
493,Silver / Black,,,,,,True,False,1,6,,Thermaltake,"295 mm / 11.614"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages",A500 Aluminum Tempered Glass,"ATX, Micro ATX, Mini ITX",CA-1L3-00M9WN-00,ATX Mid Tower
494,Black,429 mm x 208 mm x 480 mm,,3,,,True,False,3,,,Thermaltake,"315 mm / 12.402""",Versa H22,"ATX, Micro ATX, Mini ITX",CA-1B3-00M1NN-00,ATX Mid Tower
495,Gray,550 mm x 235 mm x 560 mm,,3,,,True,False,2,6,,Phanteks,"347 mm / 13.661"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Enthoo Luxe Tempered Glass (Gray),"ATX, EATX, Micro ATX, SSI EEB",PH-ES614LTG_AG,ATX Full Tower
496,Black,,,,,,True,False,3,2,,Fractal Design,"315 mm / 12.402""",Define Mini C TG,"Micro ATX, Mini ITX",FD-CA-DEF-MINI-C-BK-TG,MicroATX Mid Tower
497,Black,413 mm x 198 mm x 459 mm,,,,,True,False,2,2,,Aerocool,"346 mm / 13.622"" With Drive Cages, 371 mm / 14.606"" Without Drive Cages",Cylon,"ATX, Micro ATX, Mini ITX",ACCM-PV10012.11,ATX Mid Tower
498,Black,450 mm x 220 mm x 472 mm,,,,,True,False,4,2,,Lian-Li,"420 mm / 16.535""",,"ATX, EATX, Micro ATX, Mini ITX",LANCOOL ONE DIGITAL,ATX Mid Tower
499,White,,,,,,True,False,3,2,,DIYPC,"315 mm / 12.402""",,"Micro ATX, Mini ITX",DIY-F2-W,MicroATX Mini Tower
500,Black,409 mm x 217 mm x 412 mm,,,,,True,False,3,2,,Fractal Design,"315 mm / 12.402""",Meshify C Mini Dark TG,"Micro ATX, Mini ITX",FD-CA-MESH-C-MINI-BKO-TGD / FD-CA-MESH-C-MINI-TGD,MicroATX Mini Tower
501,White / Black,,,,,,True,False,3,4,,Phanteks,"294 mm / 11.575"" With Drive Cages, 435 mm / 17.126"" Without Drive Cages",ECLIPSE P600S,"ATX, Micro ATX, Mini ITX",PH-EC600PSTG_WT01,ATX Mid Tower
502,Black,,,,,,True,False,3,6,,Corsair,"370 mm / 14.567""",Carbide Series 678C,"ATX, EATX, Micro ATX, Mini ITX",CC-9011167-WW,ATX Mid Tower
503,White,428 mm x 210 mm x 460 mm,,,,,True,False,3,3,,NZXT,"381 mm / 15""",H500i (White),"ATX, Micro ATX, Mini ITX",CA-H500W-W1,ATX Mid Tower
504,Black / Silver,327 mm x 220 mm x 96 mm,,,1,,False,150 W,2,,,Antec,,,"Mini ITX, Thin Mini ITX",ISK 310-150,Mini ITX Desktop
505,White,,,,,,True,False,,2,,Corsair,"300 mm / 11.811""",Crystal 280X,"Micro ATX, Mini ITX",CC-9011136-WW,MicroATX Mid Tower
506,Black,,1,3,,,True,False,,5,,Antec,"317 mm / 12.48""",,"ATX, Micro ATX, Mini ITX",VSK4000E U3,ATX Mid Tower
507,Black / Gray,,,,,,True,False,3,4,,Asus,"420 mm / 16.535""",TUF Gaming GT501,"ATX, Micro ATX, Mini ITX",GT501 / 90DC0012-B49000,ATX Mid Tower
508,Black,,,,,,True,False,2,3,,Thermaltake,"330 mm / 12.992""",Versa J25 Tempered Glass RGB Edition,"ATX, Micro ATX, Mini ITX",CA-1L8-00M1WN-01,ATX Mid Tower
509,Black,386 mm x 230 mm x 381 mm,,,,,True,False,2,1,,Cooler Master,"270 mm / 10.63""",MasterBox Q500L,"ATX, Micro ATX, Mini ITX",MCB-Q500L-KANN-S00,ATX Mid Tower
510,Black,,,,,,True,False,4,,,Silverstone,"330 mm / 12.992""",FTZ01B-E,"Mini DTX, Mini ITX",SST-FTZ01B-E,Mini ITX Desktop
511,White,,,,,,True,False,4,2,,Corsair,"370 mm / 14.567""",Carbide SPEC-06 RGB,"ATX, Micro ATX, Mini ITX",CC-9011147-WW,ATX Mid Tower
512,Black,,,,,,True,False,,12,,Thermaltake,"470 mm / 18.504"" With Drive Cages, 600 mm / 23.622"" Without Drive Cages",View 91 Tempered Glass RGB Edition,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",CA-1I9-00F1WN-00,ATX Full Tower
513,Black,,,,,,True,False,3,2,,Fractal Design,"315 mm / 12.402""",Meshify C TG,"ATX, Micro ATX, Mini ITX",FD-CA-MESH-C-BKO-TGL,ATX Mid Tower
514,Black / Silver,,1,,,,True,False,,3,,Thermaltake,"280 mm / 11.024"" With Drive Cages, 320 mm / 12.598"" Without Drive Cages",Core P5 Tempered Glass Edition,"ATX, Micro ATX, Mini ITX",CA-1E7-00M1WN-03,ATX Mid Tower
515,Black,,,,,,True,False,4,4,,Cougar,"350 mm / 13.78""",GEMINI X,"ATX, Micro ATX, Mini ITX, SSI CEB",Gemini X,ATX Full Tower
516,Black / Orange,,,,,,True,False,6,5,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 801 | Orange,"ATX, EATX, Micro ATX, Mini ITX",BG028,ATX Mid Tower
517,Black,469 mm x 200 mm x 455 mm,,,,,True,False,1,2,,Cooler Master,"400 mm / 15.748""",MasterBox Lite 5,"ATX, Micro ATX, Mini ITX",MCW-L5S3-KANN-01,ATX Mid Tower
518,Black,,,,,,True,False,2,5,,Phanteks,"300 mm / 11.811"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages",Enthoo Evolv ATX Glass,"ATX, Micro ATX, Mini ITX",PH-ES515ETG_BK,ATX Mid Tower
519,Black,,,,,,True,False,2,2,,Phanteks,"280 mm / 11.024"" With Drive Cages, 395 mm / 15.551"" Without Drive Cages",ECLIPSE P400S TEMPERED GLASS,"ATX, EATX, Micro ATX, Mini ITX",PH-EC416PSTG_BK,ATX Mid Tower
520,Black / Red,455 mm x 200 mm x 477 mm,,,,,True,False,2,3,,Silverstone,"348 mm / 13.701""",Redline RL06BR-PRO,"ATX, Micro ATX, Mini ITX",RL06BR-PRO / SST-RL06BR-PRO,ATX Mid Tower
521,Black,427 mm x 195 mm x 473 mm,,1,,,True,False,2,2,,Cougar,"350 mm / 13.78""",,"ATX, Micro ATX, Mini ITX",MX330-G,ATX Mid Tower
522,Black,,,2,,,True,False,3,2,,DIYPC,"415 mm / 16.339""",,"ATX, EATX, Micro ATX",Silence-BK-Window,ATX Mid Tower
523,White,465 mm x 201 mm x 437 mm,,1,,,True,False,3,3,,BitFenix,"300 mm / 11.811""",Nova TG (White),"ATX, Micro ATX, Mini ITX",BFX-NTG-100-WWWKK-RP,ATX Mid Tower
524,Black / Red,,,,,,True,False,6,2,,Cooler Master,"400 mm / 15.748""",MasterBox MB510L,"ATX, Micro ATX, Mini ITX",MCB-B510L-KANN-S00,ATX Mid Tower
525,Black,,,,,,True,False,2,3,,Thermaltake,"320 mm / 12.598""",Core P90 Tempered Glass Edition,"ATX, Micro ATX, Mini ITX",CA-1J8-00M1WN-00,ATX Mid Tower
526,White,483 mm x 423 mm x 752 mm,,1,,,True,False,2,6,,Thermaltake,"400 mm / 15.748""",The Tower 900 Snow Edition,"ATX, EATX, Micro ATX, Mini ITX",CA-1H1-00F6WN-00,ATX Full Tower
527,Black,249 mm x 329 mm x 373 mm,,,,,True,False,5,5,,BitFenix,"320 mm / 12.598""",Phenom M Midnight Black,"Micro ATX, Mini ITX",BFC-PHM-300-KKXKK-RP,MicroATX Mini Tower
528,Black / Orange,,,,,,True,False,,3,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 601 | Orange,"ATX, EATX, Micro ATX, Mini ITX",BG025,ATX Mid Tower
529,White,445 mm x 272 mm x 446 mm,,,,,True,False,4,2,,Lian-Li,"420 mm / 16.535""",PC-O11 Dynamic (White),"ATX, EATX, Micro ATX, Mini ITX",PC-O11DW / PC011DW,ATX Full Tower
530,Silver,,,,,,True,False,2,1,,Metallic Gear,"345 mm / 13.583""",NEO MINI,Mini ITX,MG-NE210_SR01,Mini ITX Tower
531,Black,387 mm x 230 mm x 378 mm,,,,,True,False,2,1,,Cooler Master,"360 mm / 14.173""",MasterBox Q300L,"Micro ATX, Mini ITX",MCB-Q300L-KANN-S00,MicroATX Mini Tower
532,Black / Green,640 mm x 483 mm x 330 mm,,1,,,True,False,7,6,,Inwin,"385 mm / 15.157""",X-Frame 2.0 (Black/Green),"ATX, EATX, Micro ATX, Mini ITX",IW-XFRAME2-GRE,ATX Test Bench
533,Black / Red,,,,,,True,False,2,2,,Phanteks,"280 mm / 11.024"" With Drive Cages, 395 mm / 15.551"" Without Drive Cages",ECLIPSE P400 TEMPERED GLASS,"ATX, EATX, Micro ATX, Mini ITX",PH-EC416PTG_BR,ATX Mid Tower
534,Black,,,,,,True,False,4,2,,Antec,"360 mm / 14.173""",Dark Phantom DP501,"ATX, Micro ATX, Mini ITX",DP501,ATX Mid Tower
535,Black,,,,,,True,False,4,2,,Rosewill,"350 mm / 13.78""",SPECTRA C100,"ATX, Micro ATX, Mini ITX",R0901008-0118,ATX Mid Tower
536,Black / Blue,,,2,,,True,False,1,2,,Fractal Design,"380 mm / 14.961""",Focus G,"ATX, Micro ATX, Mini ITX",FD-CA-FOCUS-BU-W,ATX Mid Tower
537,Black,,,,,,True,False,2,3,,Fractal Design,"440 mm / 17.323""",Define S2 Vision RGB,"ATX, Micro ATX, Mini ITX",FD-CA-DEF-S2V-RGB-BKO-TGD,ATX Mid Tower
538,Black,,,1,,,True,False,1,3,,Aerocool,"350 mm / 13.78"" With Drive Cages, 375 mm / 14.764"" Without Drive Cages",,"ATX, Micro ATX, Mini ITX",CruiseStar Advance / 19122,ATX Mid Tower
539,Black,464 mm x 205 mm x 457 mm,,3,,,False,False,,6,,Antec,"290 mm / 11.417""",,"ATX, Micro ATX, Mini ITX, Thin Mini ITX",Three Hundred,ATX Mid Tower
540,Black / White,96 mm x 325 mm x 426 mm,1,1,,,True,350 W,,1,,Antec,,,"Micro ATX, Mini ITX, Thin Mini ITX",Minuet350,MicroATX Slim
541,Black,,,,,,True,False,2,2,,Lian-Li,"320 mm / 12.598""",,Mini ITX,PC-Q50X,Mini ITX Desktop
542,Black / Red,,1,1,,,True,False,,1,,DIYPC,"315 mm / 12.402""",,Micro ATX,MA01-R,MicroATX Mini Tower
543,Silver,,,2,,,True,False,4,7,,Silverstone,"337 mm / 13.268""",,"ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB",FT04S-W / SST-FT04S-W,ATX Full Tower
544,Black,372 mm x 210 mm x 349 mm,,,,,True,False,3,1,,NZXT,"325 mm / 12.795""",H200 (Black),Mini ITX,CA-H200B-B1,Mini ITX Tower
545,Black,470 mm x 210 mm x 443 mm,,,,,True,False,4,2,,Antec,"390 mm / 15.354""",,"ATX, Micro ATX, Mini ITX",P8,ATX Mid Tower
546,Black,441 mm x 330 mm x 424 mm,2,2,,,True,False,,4,,Cooler Master,"334 mm / 13.15""",HAF XB EVO,"ATX, Micro ATX, Mini ITX",RC-902XB-KKN2,ATX Desktop
547,Black / Silver,,,,,,True,False,6,5,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 801 | Window Silver,"ATX, EATX, Micro ATX, Mini ITX",BGW30,ATX Mid Tower
548,Black,485 mm x 185 mm x 408 mm,,1,,,True,False,,3,,Rosewill,"380 mm / 14.961""",,"ATX, Micro ATX, Mini ITX",BRADLEY M,ATX Mid Tower
549,Black,,,1,,,True,False,1,2,,Silverstone,"309 mm / 12.165""",GD10B,"ATX, Micro ATX, SSI CEB",SST-GD10B,HTPC
550,Black / Red,455 mm x 200 mm x 477 mm,,,,,True,False,2,3,,Silverstone,"348 mm / 13.701""",Redline RL06BR-GP,"ATX, Micro ATX, Mini ITX",RL06BR-GP / SST-RL06BR-GP,ATX Mid Tower
551,Black,,,,,,True,False,4,2,,Cougar,"390 mm / 15.354""",,"ATX, EATX, Micro ATX, Mini ITX",Panzer Evo RGB,ATX Full Tower
552,Black,,,,,,True,False,4,2,,Azza,"400 mm / 15.748""",Chroma 410B,"ATX, Micro ATX, Mini ITX",CSAZ-410B,ATX Mid Tower
