,Bearing Type,Color,Fan RPM,Height,Liquid Cooled,Manufacturer,Model,Noise Level,Part Number,Radiator Size,Supported Sockets
135,,,500 - 2300 RPM,,True,LEPA,AquaChanger 120,14 dB - 35 dB,LPWAC120-HF,120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
136,,,700 - 1300 RPM,"169 mm / 6.654""",False,CRYORIG,R1 Universal,20 dB - 25 dB,CR-R1B,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
137,Fluid Dynamic,,750 - 1800 RPM,"159 mm / 6.26""",False,Gelid Solutions,GX7,12 dB - 28 dB,CC-GX7-02-A,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
138,Fluid Dynamic,,1400 - 1700 RPM,"163 mm / 6.417""",False,be quiet!,Dark Rock Pro 3,13.2 dB - 26.1 dB,BK019 / DARK ROCK PRO 3,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
139,,Black / Silver,2400 RPM,,True,Corsair,H100i RGB PLATINUM,37 dB,CW-9060039-WW,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066, TR4"
140,,Black,300 - 800 RPM,"155 mm / 6.102""",False,Scythe,Ninja 5,4 dB - 14.5 dB,SCNJ-5000,,"AM4, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
141,,,1500 - 2600 RPM,"27 mm / 1.063""",False,Zalman,,17.39 dB - 22.7 dB,CNPS2X,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
142,,,1200 RPM,,True,Corsair,H115i PRO,20.4 dB,CW-9060032-WW,280mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
143,,,800 - 1500 RPM,,True,Thermaltake,Water 3.0 Riing RGB 360,26.4 dB,CL-W108-PL12SW-A,360mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
144,Fluid Dynamic,,800 - 1500 RPM,"131 mm / 5.157""",False,ARCTIC,Freezer Xtreme,24.4 dB,UCACO-P0900-CSB01,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
145,,,600 - 2500 RPM,"65 mm / 2.559""",False,Noctua,,14.8 dB - 23.6 dB,NH-L9x65,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
146,,Orange / Silver,300 - 1300 RPM,"162 mm / 6.378""",False,Thermalright,,15 dB - 21 dB,ARO-M14O,,AM4
147,Ball,,1000 - 4500 RPM,"62 mm / 2.441""",False,Dynatron,,13.14 dB - 45.9 dB,R9,,"LGA2011, LGA2011-3, LGA2066"
148,,,650 - 2000 RPM,,True,Cooler Master,MasterLiquid 240,6 dB - 30 dB,MLX-D24M-A20PW-R1,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
149,,,300 - 1400 RPM,"168 mm / 6.614""",False,Deepcool,,12.6 dB - 31.1 dB,LUCIFER V2,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
150,,,1000 - 2000 RPM,,True,Thermaltake,Water 3.0 Extreme S,20 dB,CLW0224-B,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
151,,,600 - 2000 RPM,"130 mm / 5.118""",False,ARCTIC,Freezer 13,,ACFZ13,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
152,,,800 - 3300 RPM,"40 mm / 1.575""",False,Scythe,,8.2 dB - 32.5 dB,SCKZT-1000,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
153,,Orange,,"27 mm / 1.063""",False,Dynatron,,0 dB,K129,,"LGA1150, LGA1151, LGA1155, LGA1156"
154,,,800 - 1900 RPM,"155 mm / 6.102""",False,Antec,,20.3 dB - 34.5 dB,C400,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
155,,,300 - 1500 RPM,"158 mm / 6.22""",False,Noctua,,18.6 dB - 22.4 dB,NH-U12S TR4-SP3,,TR4
156,,,,"27 mm / 1.063""",False,Dynatron,,,R15,,"LGA2011, LGA2011-3, LGA2066"
