,Bearing Type,Color,Fan RPM,Height,Liquid Cooled,Manufacturer,Model,Noise Level,Part Number,Radiator Size,Supported Sockets
219,,Black,600 - 1800 RPM,,True,Rosewill,,34.1 dB,PB240,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
220,,Silver / Black,300 - 800 RPM,"155 mm / 6.102""",False,Scythe,Mugen 5 PCGH Edition,4 dB - 14.5 dB,SCMG-5PCGH,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
221,,,1200 - 2400 RPM,"36 mm / 1.417""",False,Thermaltake,,20 dB - 26.9 dB,CLP0534,,"LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
222,,Black,500 - 2300 RPM,,True,Enermax,LIQTECH TR4 II 360,14 dB - 28 dB,ELC-LTTRTO360-TBP,360mm,TR4
223,,,1000 - 4000 RPM,"45 mm / 1.772""",False,Evercool,,12 dB - 40 dB,HPL-815EP,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
224,,,300 - 1500 RPM,"158 mm / 6.22""",False,Noctua,,18.6 dB - 22.4 dB,NH-U12S,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
225,,,1000 - 3000 RPM,"55 mm / 2.165""",False,StarTech,,33 dB,FAN1156PWM,,"LGA1150, LGA1151, LGA1155, LGA1156"
226,Fluid Dynamic,,750 - 1600 RPM,"59 mm / 2.323""",False,Gelid Solutions,,12 dB - 25.4 dB,Slimhero / CC-Shero-01-A,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
227,Rifle,,1600 RPM,"160 mm / 6.299""",False,be quiet!,Shadow Rock 2,15.3 dB - 25.4 dB,BK013,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
228,,Black,650 - 2000 RPM,"159 mm / 6.26""",False,Cooler Master,Hyper 212 Black Edition,6.5 dB - 26 dB,RR-212S-20PK-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
229,,,600 - 1800 RPM,"163 mm / 6.417""",False,Deepcool,,18.2 dB - 32.4 dB,LUCIFER K2,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
230,,Silver / Red,600 - 2500 RPM,"163 mm / 6.417""",False,Thermalright,,21 dB - 45 dB,SilverArrow TR4,,TR4
231,,Black,1200 - 1500 RPM,,True,GAMDIAS,,,CHIONE M1A 240R / CHOINE M1A 240R,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
232,,,1750 RPM,"123 mm / 4.843""",False,Antec,,20 dB,A30,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
233,,,1700 RPM,,True,Corsair,,30.32 dB,H55 / CW-9060010-WW,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
234,Sleeve,,1000 - 2200 RPM,"136 mm / 5.354""",False,RAIJINTEK,AIDOS BLACK,28.87 dB,0R100009,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
235,,,500 - 2400 RPM,,True,EVGA,CLC 120,16 dB - 39.9 dB,400-HY-CL12-V1,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
236,,,1000 - 2650 RPM,"125 mm / 4.921""",False,Phononic,HEX 2.0,17 dB - 33 dB,HEX2.0,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
237,,,650 - 2000 RPM,,True,Cooler Master,MasterLiquid ML240L RGB,6 dB - 30 dB,MLW-D24M-A20PC-R1,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
238,,,900 - 2400 RPM,"60 mm / 2.362""",False,Logisys,,17.8 dB - 26.4 dB,IC221PWM,,"LGA1150, LGA1151, LGA1155, LGA1156"
239,Ball,,800 - 2500 RPM,"31 mm / 1.22""",False,Dynatron,,16 dB - 27.3 dB,T450,,"LGA1150, LGA1151, LGA1155, LGA1156"
240,Sleeve,,1500 RPM,"155 mm / 6.102""",False,be quiet!,Pure Rock,19.1 dB - 26.8 dB,BK009,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
241,,,2700 RPM,,True,Corsair,,37.68 dB,H100i / CW-9060009-WW / CWCH100i,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
242,,,1500 RPM,,True,Corsair,,35 dB,H110 / CWCH110 / CW-9060014-WW,280mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
243,,Green / Black,200 - 2100 RPM,"157 mm / 6.181""",False,ARCTIC,Freezer 34 eSports DUO,,ACFRE00063A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
244,Sleeve,,600 - 2000 RPM,"159 mm / 6.26""",False,Cooler Master,Hyper 212 EVO,9 dB - 36 dB,RR-212E-20PK-R2 / RR-212E-16PK-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
245,,,330 - 1600 RPM,"145 mm / 5.709""",False,CRYORIG,,10 dB - 25 dB,H7 Quad Lumi / CR-H7QLA,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
246,,,500 - 2400 RPM,,True,EVGA,CLC 240,16 dB - 39.9 dB,400-HY-CL24-V1,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
247,,,1500 - 3400 RPM,"23 mm / 0.906""",False,Silverstone,,18 dB - 26 dB,AR04,,"LGA1150, LGA1151, LGA1155, LGA1156"
248,,,550 - 1700 RPM,,True,Alphacool,Eisbaer 240,29 dB,11285,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, G34, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
249,,Black,500 - 2000 RPM,,True,NZXT,Kraken M22,21 dB - 36 dB,RL-KRM22-01,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
250,Ball,,1000 - 6000 RPM,"28 mm / 1.102""",False,Dynatron,,21.5 dB - 55.8 dB,R16,,"LGA2011, LGA2011-3, LGA2066"
251,,,500 - 1800 RPM,"57 mm / 2.244""",True,Deepcool,,17.6 dB - 31.3 dB,CAPTAIN360EX / CAPTAIN 360 EX,360mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
252,Rifle,,400 - 1400 RPM,"161 mm / 6.339""",False,be quiet!,Shadow Rock Slim,11.5 dB - 23.7 dB,BK010,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
253,,,600 - 2200 RPM,,True,EVGA,CLC 280,16 dB - 39.5 dB,400-HY-CL28-V1,280mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
254,,Black,,"69 mm / 2.717""",False,ARCTIC,Alpine 12 Passive,0 dB,ACALP00024A,,"LGA1150, LGA1151, LGA1155, LGA1156"
255,,Silver / Black,1000 - 2200 RPM,"82 mm / 3.228""",False,Silverstone,NT06-PRO-V2,,SST-NT06-PRO-V2,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
256,,,300 - 1400 RPM,"149 mm / 5.866""",False,Scythe,FUMA Rev.B,13 dB - 28 dB,SCFM-1100,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
257,Sleeve,,600 - 2000 RPM,"159 mm / 6.26""",False,Cooler Master,Hyper 212 Plus,13 dB - 32 dB,RR-B10-212P-G1,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
258,,,,"160 mm / 6.299""",False,Silverstone,,,HE02,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
259,,,1600 RPM,,True,Corsair,H150i PRO,25 dB,CW-9060031-WW,360mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
260,,,2100 RPM,,True,Corsair,H110i,43 dB,CW-9060026-WW,280mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
261,,Black / Red,800 - 1800 RPM,"157 mm / 6.181""",False,RAIJINTEK,LETO R,29 dB,0R100062,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
262,,,1200 - 2000 RPM,,True,Thermaltake,Water 3.0 Performer C + LNC,27.36 dB,CLW0222-B,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
263,Fluid Dynamic,,400 - 1400 RPM,"160 mm / 6.299""",False,be quiet!,Dark Rock 3,8.4 dB - 21.1 dB,BK018,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
264,,,800 - 1600 RPM,"160 mm / 6.299""",False,Prolimatech,,,PRO-GNSS,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
265,,,1600 RPM,"150 mm / 5.906""",False,Deepcool,,17.8 dB - 21 dB,FROSTWIN V2.0,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
266,,,500 - 1800 RPM,,True,NZXT,Kraken X42 Rev 2,21 dB - 38 dB,RL-KRX42-02,140mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
267,Ball,,1000 - 2500 RPM,"110 mm / 4.331""",False,Dynatron,,17 dB - 31.92 dB,K17,,"LGA1150, LGA1151, LGA1155, LGA1156"
268,,Silver / Black,300 - 1200 RPM,"154 mm / 6.063""",False,Scythe,Mugen 5 Rev. B,4 dB - 24.9 dB,SCMG-5100,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
269,,Black,650 - 2000 RPM,,True,Cooler Master,MasterLiquid ML360 RGB TR4 Edition,6 dB - 30 dB,MLX-D36M-A20PC-T1,360mm,TR4
270,,,2600 RPM,"47 mm / 1.85""",False,Cooler Master,,24.5 dB,DP6-9EDSA-0L-GP,,"LGA1150, LGA1151, LGA1155, LGA1156"
271,,Black / Silver,1200 - 3000 RPM,"47 mm / 1.85""",False,Silverstone,AR11,19.3 dB - 44.5 dB,SST-AR11,,"LGA1150, LGA1151, LGA1155, LGA1156"
272,,,300 - 1700 RPM,"161 mm / 6.339""",False,Reeven,Ouranos,5.8 dB - 36.4 dB,RC-1401,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
273,,Black,500 - 1500 RPM,,True,Thermaltake,Water 3.0 360 ARGB Sync Edition,25.8 dB,CL-W234-PL12SW-A,360mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066, TR4"
274,,Black / Silver,300 - 1800 RPM,"117 mm / 4.606""",False,Scythe,,4.5 dB - 26.7 dB,SCIOR-1000,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
275,,,300 - 1500 RPM,"158 mm / 6.22""",False,Noctua,,18.6 dB - 22.4 dB,NH-U12S SE-AM4,,AM4
276,,,2500 RPM,"37 mm / 1.457""",False,Noctua,,,NH-L9a,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+"
277,Sleeve,,1000 - 2200 RPM,"136 mm / 5.354""",False,RAIJINTEK,AIDOS,28.87 dB,OP105246,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
278,,,700 - 1200 RPM,"160 mm / 6.299""",False,Thermaltake,Frio Silent 14,12 dB - 19.3 dB,CL-P002-AL14BL-B,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
279,,Black / Blue,1100 RPM,,True,Alphacool,Eisbaer 420,29.4 dB,11390,420mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
280,,,,"27 mm / 1.063""",False,Dynatron,,,R4,,"LGA2011, LGA2011-3, LGA2066"
281,,,500 - 2000 RPM,,True,Fractal Design,Celsius S24,32.2 dB,FD-WCU-CELSIUS-S24-BK,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
282,,,500 - 1400 RPM,,True,Thermaltake,Floe Riing RGB 360 TT Premium Edition,19.8 dB - 24.7 dB,CL-W158-PL12SW-A,360mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
283,,,2500 RPM,"37 mm / 1.457""",False,Silverstone,,20 dB - 28.3 dB,AR05,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156"
284,,,600 - 1600 RPM,"165 mm / 6.496""",False,FSP Group,Windale 6,32 dB,AC601,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1356"
285,,,1800 RPM,,True,EVGA,CLC 120 CL11,32.1 dB,400-HY-CL11-V1,120mm,"LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
286,Ball,,1500 - 7000 RPM,"67 mm / 2.638""",False,Dynatron,,16 dB - 47.5 dB,R14,,"LGA2011, LGA2011-3, LGA2066"
287,,,900 - 1700 RPM,"152 mm / 5.984""",False,Zalman,,18 dB - 30 dB,CNPS9900MAX-B,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
288,Ball,,1200 - 5000 RPM,"66 mm / 2.598""",False,Silverstone,Argon AR09-115XP,18.02 dB - 42.5 dB,SST-AR09-115XP / AR09-115XP,,"LGA1150, LGA1151, LGA1155, LGA1156"
289,,,500 - 1500 RPM,"160 mm / 6.299""",False,Logisys,,17.8 dB - 27.6 dB,MC4001IM,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
290,Sleeve,,600 - 3000 RPM,"62 mm / 2.441""",False,Rosewill,,15 dB - 30 dB,RCX-Z90-AL,,LGA775
291,,Black,650 - 2000 RPM,"159 mm / 6.26""",False,Cooler Master,Hyper 212 RGB Black Edition,8 dB - 30 dB,RR-212S-20PC-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
292,,,1600 RPM,"167 mm / 6.575""",False,Cooler Master,V8 GTS,36 dB,RR-V8VC-16PR-R1,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
293,,,500 - 1400 RPM,,True,Thermaltake,Floe Riing RGB 240 TT Premium Edition,19.8 dB - 24.7 dB,CL-W157-PL12SW-A,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
294,Fluid Dynamic,,2200 RPM,"113 mm / 4.449""",False,SilenX,,8 dB - 24 dB,EFZ-80HA3,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
295,,,2500 RPM,"48 mm / 1.89""",False,Zalman,,23.8 dB,CNPS80F,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
296,,,,"150 mm / 5.906""",False,ARCTIC,Freezer 33 Plus,22.5 dB,ACFRE00032A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
297,,Black,650 - 1800 RPM,"166 mm / 6.535""",False,Cooler Master,MasterAir MA410M,6 dB - 31 dB,MAM-T4PN-218PC-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
298,,,2000 RPM,,True,Corsair,H115i,40 dB,CW-9060027-WW / H115i,280mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
299,,,200 - 1800 RPM,"150 mm / 5.906""",False,ARCTIC,Freezer 33 eSports Edition (Black/Green),24.4 dB,ACFRE00035A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
300,,,500 - 1200 RPM,"162 mm / 6.378""",False,Enermax,,10 dB - 19 dB,ETS-T40F-RF,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
301,,,800 RPM,"162 mm / 6.378""",False,Thermalright,,15 dB,Macho X2 Limited Edition,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
302,,,,"64 mm / 2.52""",False,Dynatron,,,R8,,"LGA2011, LGA2011-3, LGA2066"
303,,,650 - 3000 RPM,"140 mm / 5.512""",False,Cooler Master,MasterAir Pro 3,6 dB - 30 dB,MAY-T3PN-930PK-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
304,,,300 - 1400 RPM,"126 mm / 4.961""",False,Scythe,Kabuto 3,4 dB - 28 dB,SCKBT-3000,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
305,Sleeve,,300 - 1500 RPM,"162 mm / 6.378""",False,Reeven,Justice,4 dB - 29.8 dB,RC-1204,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
306,,,600 - 2400 RPM,,True,Antec,,16 dB - 38 dB,KUHLER H2O 1250,240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
307,Fluid Dynamic,,900 - 2500 RPM,"127 mm / 5""",False,ARCTIC,,,Freezer 7 Pro Rev.2 / DCACO-FP701-CSA01,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
308,,,2600 RPM,"68 mm / 2.677""",False,StarTech,,22.2 dB,FAN775E,,LGA775
309,,,650 - 2000 RPM,,True,Cooler Master,MasterLiquid 120,6 dB - 30 dB,MLX-D12M-A20PW-R1,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
310,,,1200 - 2100 RPM,"149 mm / 5.866""",False,Zalman,,18.2 dB - 30 dB,CNPS8X Optima,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
311,,,1400 RPM,"140 mm / 5.512""",False,Thermaltake,Frio Silent 12,12 dB - 19.2 dB,CL-P001-AL12BL-B,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
312,Fluid Dynamic,,1600 RPM,"153 mm / 6.024""",False,SilenX,,8 dB - 24 dB,EFZ-120HA5,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
313,Ball,,1300 - 2650 RPM,"125 mm / 4.921""",False,Zalman,,18 dB - 27.5 dB,CNPS9500 AT,,"LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
314,Ball,,2400 RPM,"38 mm / 1.496""",False,Masscool,,26.2 dB,8W501B1M3G,,LGA775
315,,,800 - 1800 RPM,"160 mm / 6.299""",False,Enermax,ETS-T50 AXE (Black),18.9 dB - 25 dB,ETS-T50A-BVT,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
316,,,,"130 mm / 5.118""",False,ARCTIC,Freezer 12 CO,22.5 dB,ACFRE00030A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
317,,,500 - 2000 RPM,,True,Enermax,Liqmax II 120,16 dB - 35 dB,ELC-LMR120S-BS,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
318,,Black,1200 - 1500 RPM,,True,GAMDIAS,,,CHIONE E1A-120R / CHOINE E1A 120R,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
319,,,600 - 1850 RPM,,True,CRYORIG,,13 dB - 38 dB,A80 / CR-A8A,280mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
320,,,1800 RPM,"63 mm / 2.48""",False,Thermaltake,Gravity i2,21.3 dB,CLP0556-D,,"LGA1150, LGA1151, LGA1155, LGA1156"
321,,,650 - 2200 RPM,"64 mm / 2.52""",False,Scythe,Shuriken Rev. B 3,10.5 dB - 31.67 dB,SCSK-1100,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
322,,,650 - 2000 RPM,,True,Cooler Master,MasterLiquid ML120R RGB,6 dB - 30 dB,MLX-D12M-A20PC-R1,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
323,,,800 - 1500 RPM,"163 mm / 6.417""",False,Silverstone,,16.5 dB - 30.8 dB,SST-AR07 / AR07,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
324,,,900 - 1200 RPM,"171 mm / 6.732""",False,Phanteks,,13.4 dB - 19 dB,PH-TC14PE_BK,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
325,,,1000 - 3850 RPM,"90 mm / 3.543""",False,Intel,,,BXTS15A,,"LGA1150, LGA1151, LGA1155, LGA1156"
326,,,700 - 1300 RPM,"74 mm / 2.913""",False,CRYORIG,C1,24 dB,CR-C1A,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
