,Cores,Data Width,Includes CPU Cooler,Integrated Graphics,L1 Cache,L2 Cache,L3 Cache,Lithography,Manufacturer,Maximum Supported Memory,Model,Operating Frequency,Part Number,Simultaneous Multithreading,Simultaneous Multithreading Detail,Socket,Thermal Design Power,Turbo Frequency
329,16,64-bit,False,False,"16 x 32 kB Instruction, 16 x 32 kB Data",16 x 1 MB,1 x 22 MB,14 nm,Intel,128 GB,Intel Core i9-9960X Skylake X 16-Core 3.1 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99960X Desktop Processor,3.1 GHz,BX80673I99960X,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
330,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-960,3.2 GHz,BX80601960,True,Hyper-Threading,LGA1366,130 W,
331,4,64-bit,True,Intel HD Graphics 4600,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-4670K,3.4 GHz,BX80646I54670K,False,,LGA1150,84 W,
332,8,64-bit,False,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32 nm,AMD,,FX-9590,4.7 GHz,FD9590FHHKWOF,False,,AM3+,220 W,5 GHz
333,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14 nm,Intel,64 GB,,2.8 GHz,CM8068403358811,False,,LGA1151,65 W,4 GHz
334,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32 nm,Intel,,Pentium G630,2.7 GHz,BX80623G630,False,,LGA1155,65 W,
335,2,64-bit,False,Radeon HD 6410D,"2 x 64 kB Instruction, 2 x 64 kB Data",2 x 512 kB,None,32 nm,AMD,,A4-3300,2.5 GHz,AD3300OJZ22GX,False,,FM1,65 W,
336,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22 nm,Intel,64 GB,Core i7-5930K,3.5 GHz,BX80648I75930K,True,Hyper-Threading,LGA2011-3,140 W,3.7 GHz
337,4,64-bit,True,Intel HD Graphics 2000,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,32 nm,Intel,,Core i5-2320,3 GHz,BX80623I52320,False,,LGA1155,95 W,
338,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22 nm,Intel,,Xeon E5-2650L V2,1.7 GHz,CM8063501287602,True,Hyper-Threading,LGA2011,70 W,2.1 GHz
339,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 3 MB,None,45 nm,Intel,,Core 2 Quad Q9400,2.66 GHz,BX80580Q9400,False,,LGA775,95 W,
340,4,64-bit,False,Radeon Vega 8,"4 x 64 kB Instruction, 4 x 32 kB Data",4 x 512 kB,1 x 4 MB,14 nm,AMD,,,3.5 GHz,YD2200C4M4MFB,False,,AM4,65 W,3.7 GHz
